index,cor_iobw_ir_N,cor_iobw_ir_S
SI_1,0.128849317,0.269646319
SI_2,0.370647497,0.32899111
SI_3,0.440440402,0.229946739
SI_4,0.495057819,0.318360125
SI_5,0.084131238,-0.10578063
SI_6,0.461605209,0.287318024
SI_7,0.165602552,-0.222933026
SI_8,0.473956565,0.390873125
SI_9,0.424547956,0.307658378
SI_10,0.11536219,0.101834278
SI_11,0.264513039,-0.087877255
SI_12,0.139295217,0.220821264
SI_13,0.494145476,0.525422112
SI_14,0.499889877,0.519406179
SI_15,-0.256978782,-0.332557292
SI_16,0.003017133,-0.316241746
SI_17,-0.051543463,-0.117208055
SI_18,-0.090737398,0.055441369
SI_19,-0.152068478,0.026550244
SI_20,0.182414672,-0.219536733
SI_21,0.335938423,0.143049255
SI_22,0.230017249,0.345339024
SI_23,0.386111081,0.053530654
SI_24,0.53129882,0.565821339
SI_25,0.055120951,0.057220873
SI_26,-0.424083839,-0.270590397
OI_5,-0.373863029,-0.287381501
OI_7,0.480440759,0.243165072
OI_9,0.009602786,-0.050801185
OI_16,-0.012435253,0.270694675
