Year,Hemisphere,T_detrend,IOBW
1990,N,0.74759683,0.500279016
1991,N,0.636815736,1.034712176
1992,N,-0.288402821,0.178964958
1993,N,0.415768428,-0.295216436
1994,N,-0.392946196,-0.672005155
1995,N,0.530990604,-0.367045148
1996,N,-1.159157901,-0.343589996
1997,N,0.627351379,-0.582961653
1998,N,2.691553029,2.507695695
1999,N,-1.710323584,-0.742844017
2000,N,-1.647801934,-1.185005902
2001,N,-0.52086618,-0.031528888
2002,N,0.098161103,0.306784775
2003,N,-0.410908904,0.745159406
2004,N,-0.846681874,-0.482814612
2005,N,1.121320996,0.549255094
2006,N,-0.144220197,-0.630689659
2007,N,-0.272045928,-0.169634542
2008,N,-1.662908774,-2.130054844
2009,N,0.656715236,0.038707456
2010,N,1.107957799,1.637789312
2011,N,-0.227074792,-1.277879695
2012,N,-0.281680601,-0.54999533
2013,N,-1.207927343,-0.222354837
2014,N,0.142141129,0.045249076
2015,N,0.825128493,0.528984679
2016,N,0.834092565,2.39222749
2017,N,0.065855067,-0.74891223
2018,N,-1.036889082,-0.682764399
2019,N,1.308387718,0.64948821
1990,S,0.331940566,0.770221728
1991,S,0.520272654,0.678412497
1992,S,0.657576474,0.670631514
1993,S,-0.321623189,-1.10421408
1994,S,0.364247718,-0.714096599
1995,S,0.697252504,-0.640320755
1996,S,-0.558139353,-0.245260436
1997,S,-0.918296058,-1.506050871
1998,S,2.97313311,1.555670587
1999,S,-1.291530883,0.344308533
2000,S,-0.820447742,-0.58778317
2001,S,-0.90324103,0.590716983
2002,S,-1.20204271,0.19739463
2003,S,0.455461607,1.185595517
2004,S,-0.920393839,-0.055423565
2005,S,0.060923377,-0.574788289
2006,S,0.057568065,-1.123810041
2007,S,0.874554725,-0.12078064
2008,S,-1.37166113,-0.783487668
2009,S,-0.9932593,0.006999696
2010,S,1.186571946,0.631901986
2011,S,-0.785129707,-0.423760669
2012,S,-0.671410411,0.097342021
2013,S,0.247881143,0.41331693
2014,S,0.361175142,-0.073919346
2015,S,-0.050988572,0.397754963
2016,S,1.968459161,3.313662697
2017,S,0.532513436,-1.60235649
2018,S,-1.024844337,-0.011129358
2019,S,0.543476634,-1.286748307
