id,num,country,model,ccm_null,climate,ccm_driver
1,1,Mexico,Seasonal,0.546979298,Temperature,0.520659385
2,2,Mexico,Seasonal,0.55699688,Temperature,0.520659385
3,3,Mexico,Seasonal,0.609864476,Temperature,0.520659385
4,4,Mexico,Seasonal,0.589426023,Temperature,0.520659385
5,5,Mexico,Seasonal,0.574611024,Temperature,0.520659385
6,6,Mexico,Seasonal,0.561878229,Temperature,0.520659385
7,7,Mexico,Seasonal,0.608610852,Temperature,0.520659385
8,8,Mexico,Seasonal,0.560092639,Temperature,0.520659385
9,9,Mexico,Seasonal,0.618807998,Temperature,0.520659385
10,10,Mexico,Seasonal,0.598938448,Temperature,0.520659385
11,11,Mexico,Seasonal,0.611393176,Temperature,0.520659385
12,12,Mexico,Seasonal,0.587055079,Temperature,0.520659385
13,13,Mexico,Seasonal,0.622021415,Temperature,0.520659385
14,14,Mexico,Seasonal,0.50188167,Temperature,0.520659385
15,15,Mexico,Seasonal,0.578919518,Temperature,0.520659385
16,16,Mexico,Seasonal,0.531909465,Temperature,0.520659385
17,17,Mexico,Seasonal,0.616796295,Temperature,0.520659385
18,18,Mexico,Seasonal,0.579936603,Temperature,0.520659385
19,19,Mexico,Seasonal,0.543953153,Temperature,0.520659385
20,20,Mexico,Seasonal,0.598406494,Temperature,0.520659385
21,21,Mexico,Seasonal,0.601365781,Temperature,0.520659385
22,22,Mexico,Seasonal,0.60771377,Temperature,0.520659385
23,23,Mexico,Seasonal,0.578679199,Temperature,0.520659385
24,24,Mexico,Seasonal,0.56630743,Temperature,0.520659385
25,25,Mexico,Seasonal,0.520058416,Temperature,0.520659385
26,26,Mexico,Seasonal,0.529712212,Temperature,0.520659385
27,27,Mexico,Seasonal,0.599718703,Temperature,0.520659385
28,28,Mexico,Seasonal,0.571159321,Temperature,0.520659385
29,29,Mexico,Seasonal,0.542926042,Temperature,0.520659385
30,30,Mexico,Seasonal,0.599115616,Temperature,0.520659385
31,31,Mexico,Seasonal,0.666314448,Temperature,0.520659385
32,32,Mexico,Seasonal,0.640830327,Temperature,0.520659385
33,33,Mexico,Seasonal,0.622140901,Temperature,0.520659385
34,34,Mexico,Seasonal,0.582604133,Temperature,0.520659385
35,35,Mexico,Seasonal,0.496103012,Temperature,0.520659385
36,36,Mexico,Seasonal,0.489872527,Temperature,0.520659385
37,37,Mexico,Seasonal,0.602976139,Temperature,0.520659385
38,38,Mexico,Seasonal,0.634549093,Temperature,0.520659385
39,39,Mexico,Seasonal,0.588387807,Temperature,0.520659385
40,40,Mexico,Seasonal,0.559256139,Temperature,0.520659385
41,41,Mexico,Seasonal,0.564197888,Temperature,0.520659385
42,42,Mexico,Seasonal,0.613723865,Temperature,0.520659385
43,43,Mexico,Seasonal,0.596647737,Temperature,0.520659385
44,44,Mexico,Seasonal,0.584690586,Temperature,0.520659385
45,45,Mexico,Seasonal,0.558527941,Temperature,0.520659385
46,46,Mexico,Seasonal,0.640131113,Temperature,0.520659385
47,47,Mexico,Seasonal,0.53700373,Temperature,0.520659385
48,48,Mexico,Seasonal,0.639773096,Temperature,0.520659385
49,49,Mexico,Seasonal,0.586990194,Temperature,0.520659385
50,50,Mexico,Seasonal,0.509080761,Temperature,0.520659385
51,51,Mexico,Seasonal,0.590602812,Temperature,0.520659385
52,52,Mexico,Seasonal,0.532690744,Temperature,0.520659385
53,53,Mexico,Seasonal,0.572241305,Temperature,0.520659385
54,54,Mexico,Seasonal,0.569294986,Temperature,0.520659385
55,55,Mexico,Seasonal,0.544536139,Temperature,0.520659385
56,56,Mexico,Seasonal,0.507654836,Temperature,0.520659385
57,57,Mexico,Seasonal,0.614070795,Temperature,0.520659385
58,58,Mexico,Seasonal,0.602478643,Temperature,0.520659385
59,59,Mexico,Seasonal,0.551771591,Temperature,0.520659385
60,60,Mexico,Seasonal,0.547062988,Temperature,0.520659385
61,61,Mexico,Seasonal,0.589240394,Temperature,0.520659385
62,62,Mexico,Seasonal,0.582744989,Temperature,0.520659385
63,63,Mexico,Seasonal,0.645454596,Temperature,0.520659385
64,64,Mexico,Seasonal,0.525200034,Temperature,0.520659385
65,65,Mexico,Seasonal,0.549723408,Temperature,0.520659385
66,66,Mexico,Seasonal,0.580049326,Temperature,0.520659385
67,67,Mexico,Seasonal,0.546043699,Temperature,0.520659385
68,68,Mexico,Seasonal,0.546133237,Temperature,0.520659385
