country,id,cols,rho,mae,rmse
Belize,1,t2m,0.085690472,-0.155425477,-0.337298204
Bolivia,1,t2m,0.295305083,-0.239444775,-0.262485757
Brazil,1,t2m,0.121028867,-0.0897824,-0.091309629
Cambodia,1,t2m,0.814957959,-0.519354018,-0.685354814
Colombia,1,t2m,0.08472312,-0.121691444,-0.126889008
Costa Rica,1,t2m,0.289892138,-0.196118407,-0.275319768
Dominican Republic,1,t2m,0.414071635,-0.262067109,-0.516000702
Ecuador,1,t2m,0.343879416,-0.256557733,-0.338808047
El Salvador,1,t2m,0.071550182,-0.00476942,-0.09481281
Guatemala,1,t2m,0.294741782,-0.10744285,-0.199266195
Honduras,1,t2m,0.26942987,-0.125577922,-0.244329783
Jamaica,1,t2m,0.006416103,0.021883133,-0.056222786
Laos,1,t2m,0.205542539,-0.154546699,-0.217225328
Malaysia,1,t2m,0.205465302,-0.146128882,-0.200174745
Mexico,1,t2m,0.269277979,-0.270650462,-0.209190001
Nicaragua,1,t2m,0.283885193,-0.269777336,-0.412377964
Panama,1,t2m,0.185057065,-0.11993349,-0.171612894
Peru,1,t2m,0.254564603,-0.225916777,-0.354744132
Philippines,1,t2m,0.497366349,-0.25645079,-0.257089535
Singapore,1,t2m,0.078420528,-0.160636937,-0.14515986
Sri Lanka,1,t2m,-0.171086273,0.102536639,0.104087462
Thailand,1,t2m,0.313264223,-0.272866452,-0.326662028
Venezuela,1,t2m,0.290014874,-0.13140897,-0.158541855
Vietnam,1,t2m,0.011172491,-0.00894336,-0.012865386
Belize,2,tp,0.14574274,-0.104093552,-0.295347189
Bolivia,2,tp,0.300974113,-0.205112823,-0.22721917
Brazil,2,tp,0.39193327,-0.275044428,-0.404863106
Cambodia,2,tp,0.569349161,-0.346555652,-0.476106544
Colombia,2,tp,0.068859574,-0.106269406,-0.09686445
Costa Rica,2,tp,0.320950013,-0.195723329,-0.283433809
Dominican Republic,2,tp,0.1866615,-0.096746188,-0.25921382
Ecuador,2,tp,0.293591698,-0.237127587,-0.315519168
El Salvador,2,tp,0.271189924,-0.118190219,-0.28996703
Guatemala,2,tp,-0.009992009,0.079182061,0.14180561
Honduras,2,tp,0.057009981,-0.097397694,-0.153308297
Jamaica,2,tp,-0.194653268,-0.084711501,-0.044480019
Laos,2,tp,0.257164754,-0.204680042,-0.237194395
Malaysia,2,tp,0.007658908,-0.000987301,-0.044043838
Mexico,2,tp,0.455493196,-0.333000407,-0.380401029
Nicaragua,2,tp,0.260377434,-0.26601203,-0.419758683
Panama,2,tp,0.570203274,-0.360101839,-0.459524819
Peru,2,tp,0.411043454,-0.335311654,-0.488283526
Philippines,2,tp,0.157740014,-0.111456536,0.030073104
Singapore,2,tp,0.158678527,-0.198970013,-0.232053545
Sri Lanka,2,tp,-0.102252044,0.036482345,0.068747136
Thailand,2,tp,0.307410756,-0.315997514,-0.321729429
Venezuela,2,tp,0.11361534,-0.055371251,-0.047276627
Vietnam,2,tp,-0.015241377,0.031724761,0.029117004
Belize,3,rh,0.077250261,-0.125145174,-0.258490839
Bolivia,3,rh,0.402352157,-0.264722209,-0.300722287
Brazil,3,rh,0.350115294,-0.232710337,-0.363860462
Cambodia,3,rh,0.370807476,-0.200479421,-0.333226609
Colombia,3,rh,0.100887057,-0.075993122,-0.135457511
Costa Rica,3,rh,0.311593208,-0.190758086,-0.290295357
Dominican Republic,3,rh,0.356813379,-0.234934555,-0.43122573
Ecuador,3,rh,0.196547261,-0.189360807,-0.246066004
El Salvador,3,rh,0.278572532,-0.12639756,-0.30709237
Guatemala,3,rh,0.120083753,0.00238534,0.018980072
Honduras,3,rh,0.282068844,-0.158295808,-0.267739839
Jamaica,3,rh,-0.099965535,0.066929275,0.121567498
Laos,3,rh,-0.0028677,-0.018791576,-0.059961493
Malaysia,3,rh,0.180996946,-0.15922003,-0.187184727
Mexico,3,rh,0.418446557,-0.332796888,-0.346848809
Nicaragua,3,rh,0.191990841,-0.207895221,-0.345410853
Panama,3,rh,0.615380826,-0.364542071,-0.517024673
Peru,3,rh,0.442703662,-0.341135835,-0.510469075
Philippines,3,rh,0.346874463,-0.206610573,-0.186436172
Singapore,3,rh,0.194172687,-0.212942863,-0.276789165
Sri Lanka,3,rh,-0.05211934,-0.001318106,0.000652109
Thailand,3,rh,0.156537654,-0.179140062,-0.161288038
Venezuela,3,rh,0.211157319,-0.121235463,-0.112804999
Vietnam,3,rh,0.122938489,-0.096726767,-0.085793854
Belize,4,svpd,0.08199075,-0.127996702,-0.278575032
Bolivia,4,svpd,0.249738159,-0.222009582,-0.187887002
Brazil,4,svpd,0.321697059,-0.248883545,-0.334358954
Cambodia,4,svpd,0.743808654,-0.457657296,-0.606247651
Colombia,4,svpd,0.038206071,-0.026193633,-0.052176806
Costa Rica,4,svpd,0.333539499,-0.257746734,-0.315264201
Dominican Republic,4,svpd,0.375639092,-0.266832736,-0.457660375
Ecuador,4,svpd,0.200219795,-0.217995661,-0.267483275
El Salvador,4,svpd,0.134479744,-0.024476515,-0.150530776
Guatemala,4,svpd,0.290527381,-0.101260292,-0.164583734
Honduras,4,svpd,0.263266851,-0.140818991,-0.258959364
Jamaica,4,svpd,-0.116434433,-0.012365108,0.040881532
Laos,4,svpd,0.2819583,-0.154752397,-0.275539905
Malaysia,4,svpd,0.182921106,-0.112047612,-0.175815833
Mexico,4,svpd,0.341309819,-0.266618265,-0.265903064
