,rho,mae,rmse,type,embedding,id
3,0.062781781,0.770664934,1.138270449,non,t2m,1
14,0.464721459,0.565897114,0.898373694,non,t2m,1
25,0.520192778,0.504785911,0.863670166,non,t2m,1
36,0.574547906,0.577496437,0.823535687,non,t2m,1
47,0.661908396,0.567797281,0.748866959,non,t2m,1
58,0.41942028,0.765677063,0.89709849,non,t2m,1
69,0.651353286,0.523176213,0.768918182,non,t2m,1
80,0.405750533,0.696360505,0.925215832,non,t2m,1
91,0.442147908,0.466557271,0.908025887,non,t2m,1
102,0.395772815,0.658196811,0.929213092,non,t2m,1
113,0.344516567,0.590879791,0.948638623,non,t2m,1
124,0.398881654,0.613594981,0.926939322,non,t2m,1
135,0.130018393,0.616628258,1.005840655,non,t2m,1
146,0.453529619,0.532567159,0.896154062,non,t2m,1
157,-0.154352612,0.919491602,1.08663939,non,t2m,1
168,0.578338859,0.527480204,0.821224605,non,t2m,1
179,0.600655505,0.511311082,0.812098978,non,t2m,1
190,0.314141131,0.730475881,0.958222514,non,t2m,1
201,0.420590121,0.454744171,0.916984823,non,t2m,1
212,0.772924025,0.474255298,0.63510728,non,t2m,1
223,0.120940641,0.772021555,1.065765781,non,t2m,1
234,0.631741708,0.600714958,0.775523803,non,t2m,1
245,0.564006748,0.461143469,0.642158905,non,t2m,1
256,0.553153672,0.61432865,0.826093814,non,t2m,1
9,0.31069917,0.594152227,0.97493985,non,tp,2
20,0.100595678,0.66984661,1.102176817,non,tp,2
31,0.423827376,0.600090644,0.914228385,non,tp,2
42,0.559205547,0.599602617,0.834043306,non,tp,2
53,0.297018677,0.770663853,0.957170281,non,tp,2
64,0.14416561,0.855809309,0.983828497,non,tp,2
75,0.335238285,0.702918618,0.953197869,non,tp,2
86,0.26933675,0.728103512,0.971622433,non,tp,2
97,0.322399557,0.541293631,0.966726096,non,tp,2
108,0.298341999,0.653539182,0.985324692,non,tp,2
119,0.193156653,0.55202932,0.991900729,non,tp,2
130,0.312497948,0.701800757,0.999411615,non,tp,2
