ID,a_T0,a_Tm,a_c,pEA_T0,pEA_Tm,pEA_c,EFD_T0,EFD_Tm,EFD_c,mu_th_T0,mu_th_Tm,mu_th_c,MDR_T0,MDR_Tm,MDR_c,PDR_T0,PDR_Tm,PDR_c,b_T0,b_Tm,b_c,pMI_T0,pMI_Tm,pMI_c
1,16.02731867,40.15348816,0.0002128,14.29443233,37.79600744,-0.006782324,15.47185126,35.37948154,0.007235395,9.123538768,38.1111235,-0.135768781,11.16584458,39.52522227,7.92E-05,6.741579309,47.6119928,5.24E-05,15.45158611,35.41242431,0.000655889,10.15854911,35.9148369,0.000474375
2,14.79547333,40.26481958,0.000230526,13.57084224,38.11538721,-0.006196527,17.85802413,34.70935871,0.01259411,8.595013027,37.74622882,-0.127789683,10.51329776,39.0064708,7.05E-05,10.3573211,44.19725918,6.94E-05,20.79656935,36.06415545,0.001113369,8.769834911,38.14720682,0.000365645
3,15.42687015,40.13217274,0.000228294,13.32055194,38.35285196,-0.005848699,22.73454429,34.36969489,0.010645655,10.39852572,36.97552139,-0.162036159,12.60385283,39.05830801,8.43E-05,13.12714023,43.12425677,8.31E-05,14.25151437,35.46761159,0.000713464,12.05699522,37.80619785,0.000418106
4,12.73025038,40.04755388,0.000184202,12.91866277,38.32909196,-0.005594427,13.56781984,36.83629666,0.004772753,8.051272364,37.61999139,-0.130237787,12.40334366,39.03774819,8.22E-05,2.881115535,42.69879702,5.39E-05,16.62525176,36.99342911,0.000628631,13.5080969,36.11150167,0.000537271
5,10.8952101,40.05970445,0.000163678,13.44032071,38.15599018,-0.005999328,9.672990401,34.45891241,0.005363992,7.405361188,37.24940224,-0.141361351,11.18187607,39.66678794,7.53E-05,9.763546755,43.63051957,7.19E-05,16.30525455,37.30693087,0.000677205,14.34457006,36.15934538,0.000597695
6,10.6258782,40.02955928,0.000153841,13.10166271,38.00805794,-0.005791124,9.222185871,34.24927121,0.006206108,10.34347724,39.22188889,-0.154857345,15.31056628,39.01140097,0.000109596,11.15701864,43.09602565,6.89E-05,16.7783561,35.86708336,0.000860114,12.85577169,36.13495291,0.00052746
7,14.97497392,40.0679769,0.000247489,14.11288921,38.5606014,-0.006100652,17.06320104,34.25988511,0.011902665,7.382959696,37.60732796,-0.132838125,12.10248976,39.04115763,8.19E-05,11.22242844,45.91799447,6.26E-05,17.0260281,36.46528454,0.000740935,4.014672938,37.26925166,0.000360662
8,18.43253754,40.00171133,0.000348119,13.92122085,38.39144562,-0.006021189,9.818348269,34.08327574,0.00692623,8.80843604,36.71232114,-0.146123936,10.36466797,39.02545863,7.21E-05,6.069248947,42.09661707,5.47E-05,19.1265644,35.58712182,0.001010209,15.13958481,38.22322585,0.000474013
9,15.24394822,40.02117294,0.000244802,13.75248468,37.88591595,-0.006533466,13.58204514,34.57804406,0.008104884,9.192647544,38.47292483,-0.136586193,10.0016205,39.57352279,6.42E-05,17.11836836,44.19277673,9.97E-05,14.61589925,35.70016063,0.000622508,4.945278935,37.94333128,0.000314113
10,8.814802933,40.00278625,0.000144226,13.21643085,38.14920339,-0.005574619,14.69619197,34.71871684,0.008084094,10.3764635,37.65993034,-0.160069274,9.793269968,40.02163064,6.43E-05,9.236757045,42.34907242,6.53E-05,18.14065132,36.06395863,0.000739594,11.45984263,36.62340663,0.000452778
11,12.44564234,40.01195343,0.000166682,14.1326436,38.49316009,-0.006112061,9.936915498,35.83254626,0.005324927,9.131503398,39.87003438,-0.122512198,10.66089366,39.27461522,7.14E-05,12.73525309,45.11806302,6.94E-05,16.95648159,36.09912483,0.00088964,6.995392566,37.499365,0.000433363
12,13.03797565,40.02657876,0.000196773,13.00663486,38.38057827,-0.005552839,13.29225656,34.57644026,0.006136309,9.602245067,38.00041403,-0.154054233,7.807582176,39.03840854,6.61E-05,13.22290917,46.3957971,6.33E-05,19.98232379,35.54279469,0.001137488,14.89030155,36.63285525,0.000632035
13,15.31137899,40.04024764,0.000228999,13.92822254,38.01638221,-0.006435203,17.95606269,34.0327061,0.01374333,13.4366194,35.56479342,-0.254177815,10.15735287,39.38447279,7.55E-05,11.46987791,42.94165328,6.75E-05,19.27092739,35.43713433,0.000965849,17.7587524,39.14789288,0.000544957
14,6.586958865,40.29273632,0.000114451,13.61664453,38.00545165,-0.006355231,16.61629808,34.183209,0.009680913,8.107770042,40.17238533,-0.102388875,11.3461751,39.18184492,7.57E-05,18.987638,41.41512071,0.000129531,11.37573838,35.52957601,0.000608265,3.939328736,36.07356733,0.000370989
15,15.86900561,40.0772048,0.000256115,12.79245096,38.64535656,-0.005332926,16.29914143,34.78929205,0.009888485,9.710619676,36.36626737,-0.17088632,12.88769034,39.13152548,9.22E-05,11.02691539,48.12933342,6.16E-05,21.84297358,35.86684436,0.001168045,12.92698499,37.4392511,0.000491936
16,14.38678131,40.10498996,0.000218743,13.72219533,38.24727266,-0.006110833,17.96789507,34.48575145,0.010369562,9.626379863,37.63171756,-0.153593909,12.46982432,39.01047745,8.23E-05,9.541226275,52.67263927,4.68E-05,16.95137588,37.15498419,0.000784262,11.95716561,35.82590267,0.000533249
17,10.86021091,40.1166523,0.000159585,13.66883303,38.31406679,-0.006156245,16.17792817,34.02435472,0.011650933,8.04954567,38.90919136,-0.12684006,12.66060982,39.04681045,8.70E-05,8.620289252,47.0160152,4.92E-05,14.64352394,35.85645075,0.000711041,15.26901192,37.88614062,0.000580775
18,14.66684254,40.01695544,0.000220249,13.12571067,38.53514706,-0.005598562,17.96504052,34.27289538,0.009178074,11.73448088,36.54965824,-0.212104438,14.01009894,39.16535974,8.62E-05,9.365439178,41.47849634,6.92E-05,17.39189375,35.65479158,0.000722109,14.52445212,36.18360889,0.000526545
19,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
20,14.78457334,40.0669188,0.00024093,13.83538042,37.41391893,-0.006481662,17.82580786,34.28212053,0.01396151,12.61879464,36.17384377,-0.22573887,12.78930017,39.08296654,8.81E-05,7.135094762,47.8268376,4.77E-05,18.55014462,35.82648451,0.00104177,12.8491191,38.24982053,0.00038197
21,9.092101862,40.00923268,0.000144824,13.28760106,38.5038237,-0.005783713,17.51944004,34.51099205,0.009760034,12.44879342,39.12311147,-0.147507527,14.32840121,39.07940478,9.27E-05,8.470564985,46.20139002,5.35E-05,12.54208543,36.07058053,0.000613068,6.765733892,35.93738329,0.000430887
22,14.58620895,40.04804411,0.000222429,13.83750364,39.02798708,-0.005588491,16.24679356,34.84488885,0.008949965,11.64855388,38.75618967,-0.158542867,10.64311836,39.54399746,7.07E-05,8.345501309,43.28279847,5.72E-05,19.07589532,35.83703427,0.000982735,14.20572692,37.03429674,0.000530227
23,12.49730061,40.55661293,0.000173902,13.42490812,38.30851116,-0.006052605,11.97547041,34.80682296,0.006476095,9.890566868,36.48923459,-0.179936715,10.19439642,39.20557318,7.58E-05,8.786569459,48.64444928,5.16E-05,11.42692271,35.92322652,0.000556532,5.722477077,36.8061141,0.000429925
24,11.87385001,40.47365735,0.000170154,13.64438488,38.23897119,-0.005980773,22.32762274,34.43956992,0.018166158,9.252111434,36.92300695,-0.183076537,9.547571619,39.69129817,6.67E-05,10.55018626,45.76995795,6.32E-05,12.02632674,35.84575228,0.000548499,14.72704281,36.68170825,0.000571484
