ID,a_T0,a_Tm,a_c,pEA_T0,pEA_Tm,pEA_c,EFD_T0,EFD_Tm,EFD_c,mu_th_T0,mu_th_Tm,mu_th_c,MDR_T0,MDR_Tm,MDR_c,PDR_T0,PDR_Tm,PDR_c,b_T0,b_Tm,b_c,pMI_T0,pMI_Tm,pMI_c
1,14.35954754,37.60007245,0.000146138,8.336225466,39.31780892,-0.004580958,7.914678883,35.78875299,0.059343497,12.24370108,31.86058416,-0.939955764,5.178387113,40.15509757,7.02E-05,6.575586851,40.90284273,0.000137845,15.75480227,36.79975484,0.000571438,6.365880891,36.74167519,0.000431374
2,6.564535938,37.98799205,0.000174255,7.258147531,37.82097995,-0.004167465,13.06026437,36.06397994,0.05575492,15.16151123,29.32373001,-1.844435003,5.954084381,39.43322189,6.83E-05,15.80589428,43.74525773,0.000172008,14.6789925,36.37566628,0.00051364,5.755890632,37.76385217,0.000496066
3,12.81264789,40.21325886,0.000200084,6.658925313,37.28089113,-0.004650807,4.830612339,36.00860056,0.061255969,12.82913229,29.64419653,-1.251025982,8.606565755,39.13869033,6.23E-05,12.5357336,45.87264554,0.000101429,14.5938951,36.92492355,0.001026581,9.216158208,37.20803554,0.000505034
4,11.79023786,37.37826417,0.000250413,11.44482883,40.52453712,-0.00389177,5.725303116,35.27438659,0.05403799,12.09525317,30.98628862,-0.953966398,9.811347623,38.14957485,6.98E-05,15.5182043,39.16925883,0.00017189,16.93116545,36.08803178,0.000456121,7.969666848,36.96894031,0.00039166
5,9.363083795,37.10285236,0.000187544,7.997721762,41.33332515,-0.003639306,6.796905718,35.15263604,0.034139058,14.08313737,33.21863692,-1.526494388,11.75453033,40.33200645,6.94E-05,2.851592238,47.91923498,6.45E-05,13.06513264,36.08282329,0.000889037,3.073440688,36.55657126,0.000375657
6,7.122457438,40.38673202,0.000163876,6.596839973,38.82716437,-0.003263163,7.710924662,36.37678627,0.06043564,14.15912463,32.26590528,-0.70485237,10.59165442,40.87858443,7.84E-05,16.40570265,47.00440774,0.000122759,11.63139891,36.03785951,0.000914545,9.0349449,37.2909258,0.000335735
7,7.965337697,38.61839916,0.00018793,8.068053626,38.28017004,-0.003118037,11.11619241,35.10655373,0.05369896,12.81033047,31.76550065,-1.176591473,6.668935257,38.74126729,7.24E-05,3.90097487,41.55250229,6.99E-05,16.89357931,36.81850986,0.000771659,3.149838701,37.4214502,0.000553554
8,8.116738499,38.67698367,0.00013507,9.810632474,39.60594665,-0.002870307,3.752234617,35.74274019,0.037397553,13.79876344,31.29888936,-1.944333736,9.862537558,40.82582169,8.01E-05,17.07777798,44.82081167,0.000147282,19.37402921,36.55126449,0.000449608,6.039938719,37.02769892,0.000351185
9,8.616027575,36.79882053,0.000145808,8.859114711,38.57238648,-0.002647026,9.669910107,36.27305824,0.038485859,13.51530474,30.91214234,-2.056340574,8.917039951,38.45481893,5.10E-05,15.08213594,38.95979738,0.000170974,15.17801798,36.80261717,0.000557768,4.532968618,36.77779852,0.000534864
10,9.316888971,37.71388058,0.000254939,10.40920946,40.7962421,-0.003133286,5.825341013,36.14029764,0.034726445,14.44512867,29.32456717,-1.333666204,10.21142168,39.13005927,6.51E-05,10.05368001,40.1285319,0.000145706,18.62382245,36.63117226,0.00090656,7.135994192,37.00061994,0.000543253
11,12.52554737,40.14373558,0.000192454,9.72869169,41.19245563,-0.003840715,12.18566333,36.19368927,0.046422026,13.62228726,32.33764816,-1.202927717,6.746551248,41.58310263,7.92E-05,11.12804888,46.49323317,0.000114923,15.07953271,36.34819487,0.000957515,6.299064913,36.53568749,0.000368763
12,13.69847702,40.36447163,0.000128085,10.08431404,37.50450575,-0.003249211,8.032682711,36.48375736,0.059090386,10.57124333,30.5844764,-1.736792743,10.6166422,38.36663488,6.52E-05,13.08303667,49.15226117,0.000160095,18.44791807,36.5567553,0.000654435,1.039257002,37.20361391,0.000357998
13,13.57200379,40.29651663,0.000197917,11.23870352,39.96592267,-0.004611484,7.051424928,35.67567085,0.032490899,12.66883943,33.01724851,-1.32498315,5.515214418,39.80661591,7.33E-05,15.66575086,48.47979926,5.81E-05,18.16648236,36.41382966,0.000443198,4.494175052,37.86029536,0.000459329
14,8.136215877,37.97204965,0.000211548,9.617729625,40.19556205,-0.003804489,11.77228461,36.45443021,0.037891235,12.27243339,31.61847304,-1.844649175,10.94501037,37.90582183,5.00E-05,3.263820513,38.23628227,9.15E-05,15.67451494,36.30511396,0.00047348,5.675621461,37.47308858,0.000525095
15,12.41991011,37.65399557,0.000241272,7.835202296,39.70313914,-0.004500782,11.49890997,35.24604662,0.043446906,15.60825089,32.70474198,-1.801683105,4.466766086,39.44274982,5.54E-05,16.43107947,47.09321412,0.000157374,16.29771367,36.63569007,0.000502463,7.205203602,37.3345029,0.000491518
16,12.85525151,39.79167463,0.000149969,9.475954957,39.89482028,-0.004675122,10.56737288,35.82444141,0.054993684,11.09858405,31.03784419,-1.508982922,4.560711423,40.8081238,8.04E-05,7.605001379,48.12730688,0.000134484,12.30231186,36.66955945,0.001036347,8.603129064,37.4323404,0.000496994
17,10.12989464,37.49558522,0.000235575,7.582134531,40.9959229,-0.00429692,5.595860873,35.65144338,0.048947468,11.51537016,31.89559085,-1.206993184,6.077662812,38.95780753,5.48E-05,13.13568263,41.38417582,0.000108226,18.67040291,36.65355362,0.00070087,4.735556212,37.58775877,0.000528671
18,12.55302584,38.04987204,0.000229434,11.0539016,40.57986302,-0.003659462,6.276488635,36.0035559,0.049284816,16.03606895,32.07893599,-1.58311331,6.536005748,37.84705423,6.58E-05,12.60370983,45.39083089,7.02E-05,15.25635277,36.90738192,0.000673149,8.258131389,36.27687413,0.000412704
19,13.45418705,37.27118123,0.000247618,10.27638007,41.04255982,-0.004211273,9.744287338,35.77055346,0.057547799,12.1229766,32.78767608,-1.285461739,6.284014396,41.39277512,4.73E-05,11.04886592,47.6515087,0.000136464,14.82770981,36.69514641,0.000921929,7.352838837,37.10756173,0.000480288
20,9.534747907,37.29942996,0.000150003,10.34042302,40.59642189,-0.004692619,11.88211848,35.47390049,0.059895263,12.33444605,30.5480355,-2.082065701,9.589991615,40.8702118,5.19E-05,16.97915538,43.28019249,0.000111963,15.09683755,36.64527768,0.000805666,4.830500699,36.6429885,0.000435092
21,10.64810993,38.58377047,0.000142576,8.553479756,38.18379801,-0.0029834,6.493501934,35.65034503,0.05415299,14.50792205,31.36940603,-1.996800931,10.41215066,38.55918045,4.86E-05,16.14831085,44.78150151,7.82E-05,15.34406025,36.66464906,0.000789567,7.799393774,36.72370638,0.000369579
22,8.589477654,39.05571421,0.000130743,7.891155292,39.10188393,-0.003114276,6.660728342,35.29653426,0.064316195,11.98749817,30.75393545,-1.606957547,4.996352861,41.35453952,4.93E-05,10.68774931,46.54382447,8.80E-05,15.19817756,36.46753712,0.000764665,2.405361519,37.61973673,0.000332324
23,7.335456363,40.25830322,0.000129907,11.07342673,39.84202041,-0.004146376,9.400650798,35.19106689,0.051276098,15.66705257,31.39618116,-0.90951909,7.117036371,40.1105401,6.25E-05,7.982027215,41.59828836,6.66E-05,16.45388992,36.51314069,0.00083737,0.101691474,36.10875537,0.000442835
24,14.4125003,37.87519738,0.000220163,10.22302646,40.37490341,-0.003526178,6.809996086,36.32455948,0.060467787,15.10216104,32.20835604,-0.755953555,6.516419679,39.71157525,6.76E-05,7.739122641,47.86700205,9.69E-05,12.96935341,36.46652407,0.000618711,2.251934102,37.47073827,0.000470324
25,7.261576149,40.03401112,0.000191752,6.399823235,40.53132397,-0.003540417,11.65396885,35.7025912,0.038102654,15.32334137,32.56547914,-1.960433784,9.453992281,41.67548046,7.11E-05,6.186888666,49.21738537,0.000117431,18.27881185,36.81087616,0.000645064,0.093187003,37.75875843,0.000492702
26,7.556461176,40.34408327,0.000139597,6.405219013,39.67891425,-0.003250468,8.343093192,35.13086651,0.051430624,12.37875974,32.83459963,-0.750222964,6.052947934,38.87592917,4.69E-05,17.08633539,48.14667241,9.12E-05,17.34197161,36.82267761,0.00071925,8.810954528,36.60099248,0.000523605
27,12.8361464,40.10171354,0.000230534,10.88187794,41.55096034,-0.003945937,6.832233133,36.45579106,0.060101064,15.84212106,32.51862023,-1.547179217,5.999148778,38.38308285,8.18E-05,4.752555621,49.06526211,0.000153075,14.45677281,36.39739529,0.000981379,4.125272685,37.38840932,0.000384873
28,9.273343181,39.93196736,0.000253633,9.917360612,38.30713,-0.004552942,7.99285349,36.28849495,0.050109425,13.83608981,30.64169445,-1.933523479,9.077439557,40.69141959,6.16E-05,14.51631885,44.58433846,9.89E-05,18.26140764,36.89631177,0.000886906,0.60439519,36.529256,0.000432441
29,12.78069441,40.37049224,0.000185317,6.909398152,39.3414416,-0.003428604,3.860412996,35.217924,0.036177679,13.80343231,33.13804488,-1.476291005,10.81531963,40.54111612,7.58E-05,11.44595968,37.78429097,0.000158664,18.56845506,36.04815788,0.000778945,6.042391115,37.3273161,0.000521456
30,12.83708038,38.95355636,0.000241205,8.003490262,39.5870716,-0.003704763,9.676527333,36.28340584,0.064229583,13.65470236,33.08498296,-2.09140121,6.266993386,38.01642382,4.74E-05,12.50760656,43.50296502,0.000160165,16.82379355,36.44841345,0.000814936,4.586490344,36.71273684,0.000382895
31,12.51718208,39.74042509,0.000200837,9.87726709,38.3074232,-0.003325175,8.17442771,35.37868833,0.060795802,16.0936352,32.28956309,-1.711910417,11.24872222,40.97869563,6.94E-05,14.72140042,39.75265373,7.16E-05,12.90573256,36.82524669,0.001034464,3.342430671,37.61093877,0.000445583
32,11.74058516,39.54383068,0.000235534,8.523527704,38.07047083,-0.00362242,11.43804577,35.38787918,0.062972645,15.31739868,31.54972313,-0.705183008,10.95914736,39.12775681,7.17E-05,16.42755824,41.48651603,0.000113174,15.49844734,36.3281832,0.001013178,7.081706572,37.84092928,0.000543959
33,12.83140311,36.94640054,0.000196097,10.95995225,39.19950956,-0.003569643,8.289546941,35.26105599,0.060156482,10.79002654,31.98455947,-1.709781372,8.218383393,40.9581428,6.41E-05,17.12770111,45.81299971,7.94E-05,12.50156573,36.0646394,0.000582347,6.374387496,37.76678262,0.000368196
34,8.400745855,39.29018333,0.000226528,11.13982691,38.82681182,-0.004630503,6.321455402,36.32588626,0.05098571,13.3131088,31.87780872,-2.109969546,7.017442901,38.75643323,5.58E-05,8.870123867,44.61372705,0.000174915,18.06996694,36.07266876,0.000498671,0.070132802,36.07218125,0.000533594
35,11.5006766,40.09521275,0.000153434,10.67151137,40.0533796,-0.00308054,12.6366871,35.33291504,0.064951574,12.90152327,30.82514716,-1.3904134,6.056003863,41.54772593,5.30E-05,11.54033888,38.91912775,0.000130464,14.88201166,36.82109849,0.000698623,9.771128852,37.72449472,0.000553804
36,6.901527322,37.37561375,0.000246301,8.080841228,39.18537115,-0.004403428,10.37938092,35.64519804,0.042303596,14.94759445,31.90007015,-1.877118465,7.960212762,39.92444051,7.76E-05,10.7264398,45.9534861,0.00013402,18.50001559,36.1115914,0.000783103,9.595143256,37.6264544,0.000474292
37,7.043847939,38.14927387,0.000215331,8.424823502,40.53560518,-0.004222591,3.675486923,35.10737172,0.056914917,12.23658114,29.81276946,-2.116001684,11.34880642,39.35008852,4.81E-05,6.663875314,47.4053205,0.000109402,17.08420836,36.08528195,0.000585611,8.961520231,36.22467702,0.000520438
38,10.3362073,38.7700511,0.000224086,10.96902594,40.6963358,-0.002705387,8.263615444,35.93588334,0.037770614,11.70551475,30.9199394,-1.035725444,10.11973265,40.45765133,6.94E-05,16.75069138,44.93056861,8.07E-05,15.79231347,36.81923988,0.001001414,8.068095496,37.79752026,0.000493438
39,7.457148609,38.27631786,0.000241818,7.738102112,38.8350623,-0.002734134,10.07630769,35.27962811,0.053357943,15.61349483,31.41127224,-1.293221246,9.101392681,37.79804941,5.86E-05,15.8586474,39.35002589,0.000159886,19.69304991,36.22418989,0.000845605,9.324930405,37.78685022,0.000372682
40,7.276152887,39.16316653,0.000162085,7.159923336,38.25293463,-0.00260638,4.436132465,36.10749178,0.03445172,15.1623642,31.77711388,-1.394091329,11.77496116,40.93277479,7.20E-05,11.68088118,40.54984727,0.000130516,13.72956762,36.1967757,0.000482775,6.417760556,36.47804081,0.00049058
41,10.73473345,36.85571701,0.000163296,9.766186206,38.98555996,-0.00277564,10.84627381,35.53810038,0.048936349,12.19355938,30.33567874,-0.993065329,10.55343001,38.50089079,7.14E-05,6.032380185,40.97371816,0.000123158,18.44840443,36.89327068,0.000489228,2.578129839,36.37172026,0.000331056
42,12.051499,37.33317868,0.000192999,7.102731518,37.64446323,-0.002909519,12.09963836,35.90638633,0.057921398,11.95132836,30.05566611,-1.163936908,8.339938444,40.54273017,6.92E-05,6.756449371,47.53824614,0.000130775,14.87545888,36.62620609,0.000849892,8.627736894,37.25053939,0.000555732
43,8.195141578,38.56483722,0.000157803,9.973438037,41.44632287,-0.004684416,7.43341581,35.66705915,0.042037298,14.12886214,31.11648622,-2.123021945,12.18825077,41.18862527,6.78E-05,4.96039769,48.43863603,0.000110372,16.93085031,36.0811714,0.000440277,6.965041765,36.23643753,0.000472496
