date,Year,Month,Cases,IC,ID,ratio,country,Hemisphere,model,facet
2014/1/1,2014,1,-0.508851498,25,27,2,Belize,N,obs,N_obs
2014/3/1,2014,3,-0.518580186,25,27,2,Belize,N,obs,N_obs
2014/4/1,2014,4,-0.477719696,25,27,2,Belize,N,obs,N_obs
2014/5/1,2014,5,-0.555549201,25,27,2,Belize,N,obs,N_obs
2014/6/1,2014,6,-0.353192488,25,27,2,Belize,N,obs,N_obs
2014/7/1,2014,7,-0.158618724,25,27,2,Belize,N,obs,N_obs
2014/8/1,2014,8,0.312249783,25,27,2,Belize,N,obs,N_obs
2014/9/1,2014,9,0.27333503,25,27,2,Belize,N,obs,N_obs
2014/10/1,2014,10,0.919319925,25,27,2,Belize,N,obs,N_obs
2014/11/1,2014,11,0.168265198,25,27,2,Belize,N,obs,N_obs
2014/12/1,2014,12,-0.199479215,25,27,2,Belize,N,obs,N_obs
2015/1/1,2015,1,-0.108029546,25,27,2,Belize,N,obs,N_obs
2015/2/1,2015,2,-0.471882483,25,27,2,Belize,N,obs,N_obs
2015/3/1,2015,3,-0.432967731,25,27,2,Belize,N,obs,N_obs
2015/4/1,2015,4,-0.341518062,25,27,2,Belize,N,obs,N_obs
2015/5/1,2015,5,-0.399890191,25,27,2,Belize,N,obs,N_obs
2015/6/1,2015,6,-0.123595447,25,27,2,Belize,N,obs,N_obs
2015/7/1,2015,7,0.283063719,25,27,2,Belize,N,obs,N_obs
2015/8/1,2015,8,0.430939779,25,27,2,Belize,N,obs,N_obs
2015/9/1,2015,9,0.491257645,25,27,2,Belize,N,obs,N_obs
2015/10/1,2015,10,0.370621912,25,27,2,Belize,N,obs,N_obs
2015/11/1,2015,11,0.283063719,25,27,2,Belize,N,obs,N_obs
2015/12/1,2015,12,-0.152781511,25,27,2,Belize,N,obs,N_obs
2016/1/1,2016,1,0.193559787,25,27,2,Belize,N,obs,N_obs
2016/2/1,2016,2,-0.141107086,25,27,2,Belize,N,obs,N_obs
2016/3/1,2016,3,0.030117826,25,27,2,Belize,N,obs,N_obs
2016/4/1,2016,4,-0.273417245,25,27,2,Belize,N,obs,N_obs
2016/5/1,2016,5,-0.442696419,25,27,2,Belize,N,obs,N_obs
2016/6/1,2016,6,-0.306494784,25,27,2,Belize,N,obs,N_obs
2016/7/1,2016,7,-0.183913313,25,27,2,Belize,N,obs,N_obs
2016/8/1,2016,8,0.22469159,25,27,2,Belize,N,obs,N_obs
2016/9/1,2016,9,0.29862962,25,27,2,Belize,N,obs,N_obs
2016/10/1,2016,10,-0.092463645,25,27,2,Belize,N,obs,N_obs
2016/11/1,2016,11,-0.520525924,25,27,2,Belize,N,obs,N_obs
2016/12/1,2016,12,-0.495231335,25,27,2,Belize,N,obs,N_obs
2017/1/1,2017,1,-0.209207903,25,27,2,Belize,N,obs,N_obs
2017/2/1,2017,2,0.037900777,25,27,2,Belize,N,obs,N_obs
2017/3/1,2017,3,-0.049657417,25,27,2,Belize,N,obs,N_obs
2017/4/1,2017,4,-0.495231335,25,27,2,Belize,N,obs,N_obs
2017/5/1,2017,5,-0.567223627,25,27,2,Belize,N,obs,N_obs
2017/6/1,2017,6,-0.514688711,25,27,2,Belize,N,obs,N_obs
2017/7/1,2017,7,-0.306494784,25,27,2,Belize,N,obs,N_obs
2017/8/1,2017,8,-0.41740183,25,27,2,Belize,N,obs,N_obs
2017/9/1,2017,9,-0.536091825,25,27,2,Belize,N,obs,N_obs
2017/10/1,2017,10,-0.689805098,25,27,2,Belize,N,obs,N_obs
2017/11/1,2017,11,-0.717045425,25,27,2,Belize,N,obs,N_obs
2017/12/1,2017,12,-0.802657881,25,27,2,Belize,N,obs,N_obs
2018/1/1,2018,1,-0.792929193,25,27,2,Belize,N,obs,N_obs
2018/2/1,2018,2,-0.656727558,25,27,2,Belize,N,obs,N_obs
2018/3/1,2018,3,-0.697588049,25,27,2,Belize,N,obs,N_obs
2018/4/1,2018,4,-0.709262475,25,27,2,Belize,N,obs,N_obs
2018/5/1,2018,5,-0.752068702,25,27,2,Belize,N,obs,N_obs
2018/6/1,2018,6,-0.652836083,25,27,2,Belize,N,obs,N_obs
2018/7/1,2018,7,-0.504960023,25,27,2,Belize,N,obs,N_obs
2018/8/1,2018,8,-0.63921592,25,27,2,Belize,N,obs,N_obs
2018/9/1,2018,9,-0.335680849,25,27,2,Belize,N,obs,N_obs
2018/10/1,2018,10,-0.201424952,25,27,2,Belize,N,obs,N_obs
2018/11/1,2018,11,-0.257851344,25,27,2,Belize,N,obs,N_obs
2018/12/1,2018,12,-0.487448384,25,27,2,Belize,N,obs,N_obs
2019/1/1,2019,1,-0.489394122,25,27,2,Belize,N,obs,N_obs
2019/2/1,2019,2,-0.421293305,25,27,2,Belize,N,obs,N_obs
2019/3/1,2019,3,-0.41740183,25,27,2,Belize,N,obs,N_obs
2019/4/1,2019,4,-0.63921592,25,27,2,Belize,N,obs,N_obs
2019/5/1,2019,5,-0.394052978,25,27,2,Belize,N,obs,N_obs
2019/6/1,2019,6,0.253877654,25,27,2,Belize,N,obs,N_obs
2019/7/1,2019,7,1.468017937,25,27,2,Belize,N,obs,N_obs
2019/8/1,2019,8,4.155081609,25,27,2,Belize,N,obs,N_obs
2019/9/1,2019,9,3.47991065,25,27,2,Belize,N,obs,N_obs
2019/10/1,2019,10,3.970236534,25,27,2,Belize,N,obs,N_obs
2019/11/1,2019,11,2.849491657,25,27,2,Belize,N,obs,N_obs
2019/12/1,2019,12,1.119730901,25,27,2,Belize,N,obs,N_obs
2014/2/1,2014,2,1.214994783,20,13,25,Bolivia,S,obs,S_obs
2014/3/1,2014,3,2.228765876,20,13,25,Bolivia,S,obs,S_obs
2014/4/1,2014,4,1.763751342,20,13,25,Bolivia,S,obs,S_obs
2014/5/1,2014,5,0.695301632,20,13,25,Bolivia,S,obs,S_obs
2014/6/1,2014,6,-0.311573059,20,13,25,Bolivia,S,obs,S_obs
2014/7/1,2014,7,-0.558858331,20,13,25,Bolivia,S,obs,S_obs
2014/8/1,2014,8,-0.628314951,20,13,25,Bolivia,S,obs,S_obs
2014/9/1,2014,9,-0.669693363,20,13,25,Bolivia,S,obs,S_obs
2014/10/1,2014,10,-0.620433349,20,13,25,Bolivia,S,obs,S_obs
2014/11/1,2014,11,-0.685949168,20,13,25,Bolivia,S,obs,S_obs
2014/12/1,2014,12,-0.649004157,20,13,25,Bolivia,S,obs,S_obs
2015/1/1,2015,1,-0.438171296,20,13,25,Bolivia,S,obs,S_obs
2015/2/1,2015,2,-0.113547802,20,13,25,Bolivia,S,obs,S_obs
2015/3/1,2015,3,1.399719836,20,13,25,Bolivia,S,obs,S_obs
2015/4/1,2015,4,3.212980961,20,13,25,Bolivia,S,obs,S_obs
2015/5/1,2015,5,1.875078974,20,13,25,Bolivia,S,obs,S_obs
2015/6/1,2015,6,0.107629662,20,13,25,Bolivia,S,obs,S_obs
2015/7/1,2015,7,-0.583488338,20,13,25,Bolivia,S,obs,S_obs
2015/8/1,2015,8,-0.637181753,20,13,25,Bolivia,S,obs,S_obs
2015/9/1,2015,9,-0.551469329,20,13,25,Bolivia,S,obs,S_obs
2015/10/1,2015,10,-0.355414472,20,13,25,Bolivia,S,obs,S_obs
2015/11/1,2015,11,-0.094828996,20,13,25,Bolivia,S,obs,S_obs
2015/12/1,2015,12,0.018961636,20,13,25,Bolivia,S,obs,S_obs
2016/1/1,2016,1,2.091823037,20,13,25,Bolivia,S,obs,S_obs
2016/2/1,2016,2,3.743511315,20,13,25,Bolivia,S,obs,S_obs
2016/3/1,2016,3,2.892298268,20,13,25,Bolivia,S,obs,S_obs
2016/4/1,2016,4,1.602178495,20,13,25,Bolivia,S,obs,S_obs
2016/5/1,2016,5,-0.190886024,20,13,25,Bolivia,S,obs,S_obs
2016/6/1,2016,6,-0.622403749,20,13,25,Bolivia,S,obs,S_obs
2016/7/1,2016,7,-0.687426968,20,13,25,Bolivia,S,obs,S_obs
2016/8/1,2016,8,-0.703682773,20,13,25,Bolivia,S,obs,S_obs
2016/9/1,2016,9,-0.707130974,20,13,25,Bolivia,S,obs,S_obs
2016/10/1,2016,10,-0.616492548,20,13,25,Bolivia,S,obs,S_obs
2016/11/1,2016,11,-0.260342644,20,13,25,Bolivia,S,obs,S_obs
2016/12/1,2016,12,-0.095814197,20,13,25,Bolivia,S,obs,S_obs
2017/1/1,2017,1,-0.200245427,20,13,25,Bolivia,S,obs,S_obs
2017/2/1,2017,2,-0.024879776,20,13,25,Bolivia,S,obs,S_obs
2017/3/1,2017,3,0.416982552,20,13,25,Bolivia,S,obs,S_obs
2017/4/1,2017,4,0.241616901,20,13,25,Bolivia,S,obs,S_obs
2017/5/1,2017,5,-0.301721056,20,13,25,Bolivia,S,obs,S_obs
2017/6/1,2017,6,-0.662304361,20,13,25,Bolivia,S,obs,S_obs
2017/7/1,2017,7,-0.688412168,20,13,25,Bolivia,S,obs,S_obs
2017/8/1,2017,8,-0.685456567,20,13,25,Bolivia,S,obs,S_obs
2017/9/1,2017,9,-0.703190173,20,13,25,Bolivia,S,obs,S_obs
2017/10/1,2017,10,-0.712056975,20,13,25,Bolivia,S,obs,S_obs
2017/11/1,2017,11,-0.654422758,20,13,25,Bolivia,S,obs,S_obs
2017/12/1,2017,12,-0.636689153,20,13,25,Bolivia,S,obs,S_obs
2018/1/1,2018,1,-0.570680734,20,13,25,Bolivia,S,obs,S_obs
2018/2/1,2018,2,-0.373148077,20,13,25,Bolivia,S,obs,S_obs
2018/3/1,2018,3,-0.200245427,20,13,25,Bolivia,S,obs,S_obs
2018/4/1,2018,4,-0.225860634,20,13,25,Bolivia,S,obs,S_obs
2018/5/1,2018,5,-0.327828864,20,13,25,Bolivia,S,obs,S_obs
2018/6/1,2018,6,-0.713534776,20,13,25,Bolivia,S,obs,S_obs
2018/7/1,2018,7,-0.725849779,20,13,25,Bolivia,S,obs,S_obs
2018/8/1,2018,8,-0.736194382,20,13,25,Bolivia,S,obs,S_obs
2018/9/1,2018,9,-0.726342379,20,13,25,Bolivia,S,obs,S_obs
2018/10/1,2018,10,-0.656393159,20,13,25,Bolivia,S,obs,S_obs
2018/11/1,2018,11,-0.454427101,20,13,25,Bolivia,S,obs,S_obs
2018/12/1,2018,12,0.008617033,20,13,25,Bolivia,S,obs,S_obs
2019/1/1,2019,1,-0.051972784,20,13,25,Bolivia,S,obs,S_obs
2019/2/1,2019,2,-0.398270684,20,13,25,Bolivia,S,obs,S_obs
2019/3/1,2019,3,0.13324487,20,13,25,Bolivia,S,obs,S_obs
2019/4/1,2019,4,-0.078573192,20,13,25,Bolivia,S,obs,S_obs
2019/5/1,2019,5,-0.026357577,20,13,25,Bolivia,S,obs,S_obs
2019/6/1,2019,6,-0.320439862,20,13,25,Bolivia,S,obs,S_obs
