country,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2019/10/1,2019/11/1,2019/12/1
Mexico,0.681875943,0.683808325,0.680728164,0.661130402,0.619506166,0.450189746,-0.092627576,-0.963843427,-0.969073472,-0.088513693,0.547380478,0.642011572,0.673130626,0.673544094,0.662418232,0.605127733,0.467144794,0.03338453,-1.298778292,-2.690090785,-2.970590487,-1.293358648,0.325112797,0.548494518,0.622507389,0.640581463,0.616612316,0.469820505,0.100794859,-0.491442749,-1.53267103,-2.000583719,-1.217203001,0.020283211,0.565187289,0.652603436,0.662454836,0.666640443,0.656110327,0.627176276,0.494843003,0.2943096,-0.137361681,-0.656196699,-0.935512443,0.164083135,0.555661719,0.647844047,0.674710758,0.677968529,0.672498382,0.649790964,0.599813446,0.435260341,0.089873663,-0.183131205,-0.350696779,0.093738638,0.523800927,0.66041243,0.679832582,0.680786731,0.671966401,0.639668693,0.516238931,0.073737487,-1.540189631,-3.906845355,-2.379691318,-0.412674414,0.358475527
Vietnam,0.58546,0.59004,0.59088,0.58306,0.56712,0.52559,0.43772,0.29139,0.02717,0.04929,0.47713,0.57782,0.59042,0.59436,0.58697,0.55968,0.46463,0.10643,-1.1986,-2.80781,-2.81964,-1.12659,0.0828,0.46927,0.54397,0.56554,0.56857,0.53714,0.47186,0.30204,-0.02316,-0.5135,-0.52863,0.0155,0.30121,0.5578,0.59118,0.58727,0.58488,0.56912,0.48183,0.11211,-1.01404,-2.53424,-2.02781,-0.46979,0.30379,0.5656,0.58094,0.59251,0.59223,0.58383,0.55065,0.47388,0.28891,0.07147,-0.14049,0.05957,0.46785,0.5713,0.58882,0.59433,0.58823,0.5549,0.42698,0.0092,-1.28543,-3.43101,-3.524,-0.74962,0.18214
Laos,0.675302119,0.671421113,0.651704913,0.607036147,0.533405895,0.240863491,-0.490759689,-1.368671761,-1.372084652,0.024037902,0.668544379,0.678694144,0.669739163,0.658033547,0.62433375,0.565408319,0.364889669,-0.158380272,-1.392688095,-2.440925351,-1.302011535,-0.04203718,0.609376726,0.675989778,0.667508355,0.646222697,0.617426321,0.492188122,0.166238039,-0.954166154,-2.065442091,-1.381515914,-0.248830032,0.387000881,0.569949768,0.67749301,0.677981991,0.669560444,0.658099773,0.621139495,0.555058062,0.369597136,-0.391881124,-1.619918373,-1.879657293,-0.136572066,0.571370445,0.677764263,0.676642963,0.67771346,0.674856684,0.667104651,0.648554203,0.573753662,0.376951815,-0.054942115,-0.691743733,0.000498756,0.625981227,0.675586981,0.664248782,0.653351483,0.551029182,-0.214828137,-2.368961627,-4.129967704,-1.833240351,-0.201606588,0.216856229,0.515744504,0.598577404
Dominican Republic,0.482727125,0.494541135,0.50328916,0.503062297,0.493128219,0.473854277,0.387834877,0.210472844,-0.044886718,0.034278353,0.169430406,0.339679448,0.428192927,0.45824955,0.46293823,0.441201058,0.392722419,0.229042938,-0.537092702,-3.0460341,-3.811562238,-1.501184685,-0.47708909,0.159923003,0.35901414,0.43248673,0.452202535,0.449116616,0.407020067,0.351485865,0.216161054,0.063608822,-0.034715336,0.042515222,0.234044861,0.392194652,0.461340216,0.483227365,0.49523644,0.499055633,0.495700609,0.479710974,0.440379032,0.380546755,0.322701672,0.30086151,0.373871829,0.446813805,0.489484158,0.499181405,0.504126848,0.504160071,0.502725323,0.48423876,0.423889631,0.291297154,-0.026568168,-0.107406242,0.039344823,0.238595429,0.348214847,0.398788893,0.426340047,0.360773522,0.07679778,-1.634619122,-3.876397388,-3.731598397,-1.66555947,-0.452177722,0.115068017
Jamaica,0.41308,0.23488,0.29689,0.22881,0.30905,0.25524,0.17031,0.25231,0.22621,0.29223,0.23191,0.24437,0.41898,0.23957,0.29492,0.24729,0.3156,0.27484,0.23763,0.28057,0.27332,0.32846,0.34091,0.34072,0.42658,0.2998,-0.06751,0.20567,0.28663,0.25008,0.26307,0.33489,0.28679,0.37525,0.3313,0.37548,0.55952,0.02455,0.24593,0.22557,0.30695,0.27957,0.30529,0.21948,0.19922,0.32926,0.27018,0.30809,0.46126,0.27481,0.34967,0.30312,0.16893,0.19484,0.25494,0.3285,0.2677,0.3326,0.29073,0.29314,0.48285,0.29178,0.34679,0.33722,0.09393,-1.43528,-3.67041,-4.42445,-4.09646,-2.97164,-1.8643
Belize,0.434803798,0.242356137,0.324589229,0.280394498,0.348147899,0.318010582,0.078112203,0.284028312,0.277449664,0.31119857,0.312354278,0.25007938,0.399410231,0.268637388,0.300452705,0.308253736,0.364838994,0.304053181,0.314165629,0.380063229,0.090436055,0.321688846,0.291640429,0.294985316,0.332623624,0.276293956,0.311354146,0.257258107,0.338279928,0.287306523,0.290662522,0.343658416,0.333179253,0.396554298,0.418657219,0.343013887,0.476876026,0.300074877,-0.00912155,0.233210483,0.305375578,0.289495701,0.272026725,0.32708956,0.345091939,0.323355733,0.372173297,0.518048135,0.320533137,0.331712393,0.381607877,0.060276512,0.294318561,0.264959124,0.294651938,0.356871274,0.327567401,0.346114297,0.353026321,0.361049604,0.415901299,0.324878156,0.215741507,-0.264777567,-2.058281313,-3.492815385,-4.332115219,-4.016551283,-3.090917814,-1.416629827,-0.759809671
Thailand,0.706289334,0.705527968,0.701044082,0.692753585,0.676707253,0.641803377,0.558403584,0.441455511,0.216110123,0.246899602,0.638610371,0.691529298,0.676531083,0.631435194,0.462690146,0.154376684,-0.462432608,-1.444076365,-3.309354824,-3.938978035,-2.412113592,-0.792375811,0.338304365,0.608307988,0.597368179,0.56168989,0.488858234,0.373853788,0.301419506,0.105875616,-0.132895027,-0.328525933,-0.208932651,0.179216886,0.421569314,0.685176582,0.694997186,0.65461529,0.635332923,0.574582273,0.524083203,0.41679942,0.186414188,-0.176638157,-0.467854727,-0.148347217,0.439677928,0.68720212,0.648008901,0.668454197,0.611934589,0.493769823,0.419401164,0.310478003,0.192307694,-0.318868931,-0.568950966,-0.280003308,0.472445946,0.658334056,0.640931343,0.596140708,0.330380957,-0.842706958,-1.895719251,-2.360661364,-2.692751247,-1.502018118,-0.616395321,0.093085348,0.447415609
Guatemala,0.256521837,0.256081087,0.255649809,0.250170089,0.239604903,0.218572261,0.188018778,0.177961396,0.189242867,0.223846835,0.248535602,0.245159749,0.25111197,0.247625795,0.234776998,0.19851325,0.184677044,0.167364566,0.147533626,0.165583593,0.185165475,0.224088575,0.246620735,0.24279929,0.237740085,0.230856209,0.208205116,0.201208873,0.212868022,0.220617684,0.229253796,0.233458624,0.236128954,0.247286542,0.255658742,0.256029101,0.256219824,0.254850432,0.253498369,0.253696195,0.254124782,0.25130872,0.245974195,0.242396426,0.244757639,0.250227995,0.25443476,0.25684882,0.256543363,0.25562796,0.253172461,0.250398375,0.249187524,0.247507616,0.247876468,0.251009613,0.252819324,0.255521835,0.256436055,0.257771004,0.257757658,0.257522053,0.247664435,0.087340664,-1.272327221,-5.160093378,-5.840714319,-1.957144595,-0.492288634,-0.143864601,-0.050599693
Honduras,0.363490076,0.363976876,0.363722102,0.363931381,0.363578792,0.36316251,0.362925935,0.359791309,0.359393225,0.361845421,0.363053321,0.363669783,0.364625184,0.364732098,0.363979151,0.36186362,0.359991488,0.357200352,0.351270041,0.344106807,0.336506819,0.342448504,0.349730025,0.356463329,0.361547427,0.362079722,0.352910146,0.318072127,0.293029244,0.283484332,0.262749853,0.227152062,0.13528797,0.201895351,0.287153527,0.326570647,0.348656337,0.353180843,0.354279555,0.348183186,0.345737814,0.334286649,0.305492679,0.267997735,0.199388561,0.171454452,0.248402913,0.319164014,0.343392531,0.352623526,0.353549355,0.343426653,0.313879736,0.282139946,0.255943757,0.256228103,0.20813503,0.148465681,0.158176651,0.2712279,0.321220401,0.32755562,0.257231274,-0.099146991,-1.262991609,-2.45202697,-2.883169922,-4.424914353,-4.132729944,-2.816353263,-1.735478407
El Salvador,0.36156,-0.78972,-2.13886,-2.29175,-1.05494,-1.00717,-0.19906,0.04055,0.5177,0.98129,1.17906,0.78796,0.94391,0.33296,-0.12402,-1.01833,-1.81017,-1.47015,-0.38483,0.4886,0.84712,1.08796,1.22391,0.84602,0.52899,-0.51935,-1.09489,-1.45696,-0.48579,-0.54312,0.16627,0.70707,0.80026,1.11309,1.38342,1.47741,1.15254,-0.20182,-0.98369,-1.54448,-1.14492,-0.76091,-0.28945,0.40213,0.56376,1.00876,1.31539,1.17798,0.81742,0.08232,-1.07347,-1.47417,-0.96952,-0.53427,0.04375,0.54717,0.89578,1.09825,1.17582,1.3015,1.25936,0.39746,-0.98363,-1.62385,-1.15571,-1.19924,-0.45927,0.16181,0.51165,0.49057,0.56901
