X,country,IC,ID,ratio,peak_num.x,outbreaks_obs,peak_date_obs,outbreak_duration_months_obs,outbreak_size_obs,matching_peak_num,peak_months_obs,peak_num,outbreaks_pre,peak_date_pre,outbreak_duration_months_pre,outbreak_size_pre,peak_months_pre,residual,max_outbreak_obs,max_outbreak_pre,calculation,mean_residual_outbreak_size,mean_residual_outbreak_duration,mean_residual_peak_months,mosquito
1,Belize,25,27,2,1,1,2019/8/31,6,17.04246929,1,8,1,1,2019/8/31,6,17.61121792,8,0,1,1,0,0.323475002,0,0,alb
2,Bolivia,20,13,25,1,1,2014/3/31,3,5.207512001,1,3,1,1,2014/3/31,1,1.088332125,3,1,3,4,0,12.65674685,1.666666667,0.666666667,aeg
3,Brazil,38,23,2,2,2,2016/3/31,4,7.365096943,1,3,1,1,2016/4/30,3,5.577878227,4,0,3,3,1,4.849526031,1,1,aeg
4,Cambodia,10,48,2,1,1,2015/8/31,3,5.654421264,1,8,1,1,2015/8/31,3,5.691726823,8,0,4,4,1,5.707400929,0,0,aeg
5,Colombia,8,4,2,1,1,2014/12/31,1,1.032569678,2,12,2,2,2014/12/31,1,2.78795948,12,9,5,3,16,3.081393359,0,0,aeg
6,Costa Rica,43,36,2,1,1,2015/11/30,6,12.6434523,1,11,1,1,2015/10/31,1,1.261208003,10,1,2,3,0,64.99739695,14.5,0.5,alb
7,Dominican Republic,14,13,2,2,2,2019/8/31,6,12.73203078,2,8,2,2,2019/8/31,4,10.90817438,8,0,2,2,0,1.673465398,2,0,aeg
8,Ecuador,6,30,2,1,1,2015/5/31,5,15.28519058,1,5,1,1,2015/5/31,11,18.68448575,5,0,1,1,0,11.55520764,36,0,alb
9,El Salvador,16,17,1,3,3,2019/8/31,2,2.416557575,5,8,5,5,2019/8/31,1,1.129939256,8,4,3,3,0,41.27591395,11,0,alb
10,Guatemala,29,32,2,1,1,2014/11/30,1,1.024284113,3,11,3,3,2014/11/30,1,7.191194025,11,0,3,3,4,38.03077785,0,0,aeg
11,Honduras,22,49,2,2,2,2015/6/30,1,1.110468696,3,6,3,3,2015/6/30,1,1.059465182,6,0,3,3,1,1.353728823,0.5,0.5,aeg
12,Jamaica,9,27,20,2,2,2019/10/31,2,5.464168351,5,10,5,5,2019/11/30,3,3.712103028,11,4,3,2,1,3.270754647,2.5,1,aeg
13,Laos,6,12,25,1,1,2017/7/31,1,1.03900354,4,7,4,4,2017/8/31,3,5.416291167,8,16,2,5,0,103.8688569,10,1,aeg
14,Malaysia,6,42,2,6,6,2019/11/30,1,1.132716794,8,11,8,8,2019/11/30,1,1.112267994,11,4,6,8,1,4.807758799,2,0.2,alb
15,Mexico,48,17,13,1,1,2015/8/31,4,6.330136275,1,8,1,1,2015/8/31,4,9.585140271,8,1,2,3,0,33.10673859,2,0,aeg
16,Nicaragua,10,30,2,1,1,2016/7/31,1,1.620624644,1,7,1,1,2016/8/31,7,16.45505819,8,0,2,2,0,163.6035208,18.5,0.5,aeg
17,Panama,32,21,2,1,1,2014/2/28,1,4.243195504,1,2,1,1,2014/2/28,2,2.535815547,2,0,5,5,4,16.13388545,2,0,alb
18,Peru,39,27,13,2,2,2017/5/31,6,14.00108326,2,5,2,2,2017/5/31,3,11.1313391,5,0,2,2,0,9.349528602,6.5,0.5,alb
19,Philippines,5,35,2,1,1,2015/9/30,3,3.632975931,2,9,2,2,2015/10/31,3,3.790843019,10,0,5,5,1,14.23520148,2.75,0.5,aeg
20,Singapore,15,37,3,3,3,2019/7/31,3,6.063875761,6,7,6,6,2019/7/31,1,1.959982709,7,9,3,2,0,18.14193359,3,0.333333333,alb
21,Sri Lanka,7,34,2,2,2,2017/7/31,4,12.00864494,2,7,2,2,2017/7/31,2,2.47858234,7,1,3,3,1,48.83853207,2.5,0.5,aeg
22,Thailand,21,35,2,2,2,2018/7/31,2,2.300533973,4,7,4,4,2018/7/31,1,1.573702187,7,1,3,4,1,50.98497052,8.5,0,alb
23,Venezuela,50,32,2,1,1,2014/10/31,4,10.46536334,1,10,1,1,2014/11/30,4,8.160447841,11,0,4,4,1,6.537945954,1.666666667,2,aeg
24,Vietnam,22,30,2,1,1,2017/9/30,3,4.631470556,2,9,2,2,2017/9/30,4,10.25200884,9,0,2,2,1,31.59045055,1,0,alb
