country,IC,ID,ratio,peak_num.x,outbreaks_obs,peak_date_obs,outbreak_duration_months_obs,outbreak_size_obs,matching_peak_num,peak_months_obs,X_pre,peak_num,outbreaks_pre,peak_date_pre,outbreak_duration_months_pre,outbreak_size_pre,peak_months_pre,residual,max_outbreak,calculation,mean_residual_outbreak_size,mean_residual_outbreak_duration,mean_residual_peak_months,mosquito
Belize,6,28,2,1,1,2019/8/31,6,17.04246929,2,8,1284,2,2,2019/8/31,6,16.9165352,8,1,1,0,0.015859395,0,0,alb
Bolivia,18,26,25,1,1,2014/3/31,3,5.207512001,1,3,4324,1,1,2014/3/31,2,2.224323366,3,4,3,0,10.59352781,1,3.333333333,aeg
Bolivia,18,26,25,2,2,2015/4/30,3,6.487779771,2,4,4325,2,2,2015/1/31,4,5.074302317,1,4,3,0,10.59352781,1,3.333333333,aeg
Bolivia,18,26,25,3,3,2016/2/29,4,10.32981111,3,2,4326,3,3,2016/1/31,3,5.759991591,1,4,3,0,10.59352781,1,3.333333333,aeg
Brazil,44,23,2,2,2,2016/3/31,4,7.365096943,1,3,2852,1,1,2016/4/30,3,6.522269365,4,1,3,1,0.374417944,0.5,2.5,aeg
Brazil,44,23,2,3,3,2019/5/31,4,9.383007953,4,5,2855,4,4,2019/3/31,4,9.186850973,3,1,3,1,0.374417944,0.5,2.5,aeg
Cambodia,15,12,2,1,1,2015/8/31,3,5.654421264,2,8,3737,2,2,2015/8/31,3,5.130497764,8,1,4,1,2.797187889,0,1.666666667,aeg
Cambodia,15,12,2,2,2,2016/8/31,2,3.291524641,3,8,3738,3,3,2016/7/31,2,2.422859367,7,1,4,1,2.797187889,0,1.666666667,aeg
Cambodia,15,12,2,4,4,2019/9/30,4,9.726951476,5,9,3740,5,5,2019/7/31,4,7.013560889,7,1,4,1,2.797187889,0,1.666666667,aeg
Colombia,7,33,2,1,1,2014/12/31,1,1.032569678,2,12,286,2,2,2014/12/31,1,2.78795948,12,9,5,16,3.081393359,0,0,aeg
Costa Rica,3,33,2,1,1,2015/11/30,6,12.6434523,1,11,206,1,1,2015/10/31,5,11.61114868,10,1,2,0,0.573100796,0.5,8.5,aeg
Costa Rica,3,33,2,2,2,2016/8/31,4,7.517473326,2,8,207,2,2,2016/4/30,4,7.801288099,4,1,2,0,0.573100796,0.5,8.5,aeg
Dominican Republic,14,25,2,1,1,2015/10/31,3,8.215677482,1,10,2486,1,1,2015/10/31,4,8.501689459,10,0,2,0,0.836335075,2.5,2,aeg
Dominican Republic,14,25,2,2,2,2019/8/31,6,12.73203078,2,8,2487,2,2,2019/10/31,4,11.4707349,10,0,2,0,0.836335075,2.5,2,aeg
Ecuador,28,49,2,1,1,2015/5/31,5,15.28519058,1,5,1927,1,1,2015/9/30,7,15.34490077,9,1,1,0,0.003565307,4,16,alb
El Salvador,14,35,2,1,1,2014/8/31,5,11.00168358,1,8,2425,1,1,2014/9/30,4,8.38262109,9,1,3,0,9.22080814,2,0.666666667,aeg
El Salvador,14,35,2,2,2,2015/8/31,5,9.863696854,2,8,2426,2,2,2015/8/31,4,7.050368984,8,1,3,0,9.22080814,2,0.666666667,aeg
El Salvador,14,35,2,3,3,2019/8/31,2,2.416557575,4,8,2428,4,4,2019/7/31,4,6.006560692,7,1,3,0,9.22080814,2,0.666666667,aeg
Guatemala,33,49,2,1,1,2014/11/30,1,1.024284113,2,11,964,2,2,2014/11/30,1,1.251579275,11,1,3,4,0.051663091,0,0,aeg
Honduras,22,49,2,1,1,2014/10/31,1,1.292905044,2,10,2588,2,2,2014/9/30,2,2.937549774,9,0,3,1,1.353728823,0.5,0.5,aeg
Honduras,22,49,2,2,2,2015/6/30,1,1.110468696,3,6,2589,3,3,2015/6/30,1,1.059465182,6,0,3,1,1.353728823,0.5,0.5,aeg
Jamaica,25,13,2,2,2,2019/10/31,2,5.464168351,6,10,7195,6,6,2019/11/30,3,3.70329607,11,9,3,1,3.269852831,2.5,1,aeg
Jamaica,25,13,2,3,3,2019/12/31,1,1.848832678,6,12,7195,6,6,2019/11/30,3,3.70329607,11,9,3,1,3.269852831,2.5,1,aeg
Laos,22,7,25,1,1,2017/7/31,1,1.03900354,4,7,3681,4,4,2017/8/31,3,5.416291167,8,16,2,0,103.8688569,10,1,aeg
Laos,22,7,25,2,2,2019/7/31,6,17.54270035,6,7,3683,6,6,2019/8/31,2,3.810363805,8,16,2,0,103.8688569,10,1,aeg
Malaysia,48,49,2,2,2,2015/1/31,3,4.844459908,1,1,8229,1,1,2014/11/30,3,6.544490648,11,4,6,9,2.974133511,0.333333333,34,aeg
Malaysia,48,49,2,3,3,2015/7/31,3,3.89026757,2,7,8230,2,2,2015/8/31,3,5.910045981,8,4,6,9,2.974133511,0.333333333,34,aeg
Malaysia,48,49,2,6,6,2019/11/30,1,1.132716794,4,11,8232,4,4,2019/10/31,2,2.530139846,10,4,6,9,2.974133511,0.333333333,34,aeg
Mexico,18,14,13,1,1,2015/8/31,4,6.330136275,1,8,2997,1,1,2015/10/31,2,3.498464841,10,1,2,0,7.059834175,2.5,2.5,aeg
Mexico,18,14,13,2,2,2019/10/31,4,11.63989955,3,10,2999,3,3,2019/9/30,3,9.169817517,9,1,2,0,7.059834175,2.5,2.5,aeg
Nicaragua,16,35,2,1,1,2016/7/31,1,1.620624644,2,7,2298,2,2,2016/7/31,1,1.00898449,7,1,2,0,5.493338292,2,0,aeg
Nicaragua,16,35,2,2,2,2019/8/31,5,15.54724222,3,8,2299,3,3,2019/8/31,7,12.2895478,8,1,2,0,5.493338292,2,0,aeg
Panama,48,32,2,1,1,2014/2/28,1,4.243195504,1,2,13905,1,1,2014/2/28,2,2.627567518,2,36,5,4,1.290303773,0.666666667,0,alb
Panama,48,32,2,2,2,2016/7/31,1,1.614810203,7,7,13911,7,7,2016/7/31,1,1.764714978,7,36,5,4,1.290303773,0.666666667,0,alb
Panama,48,32,2,3,3,2016/12/31,2,3.372918313,8,12,13912,8,8,2016/12/31,1,2.260180209,12,36,5,4,1.290303773,0.666666667,0,alb
Peru,39,27,13,1,1,2015/6/30,3,3.531379657,1,6,22644,1,1,2015/5/31,5,6.76613245,5,0,2,0,9.349528602,6.5,0.5,alb
Peru,39,27,13,2,2,2017/5/31,3,11.1313391,2,5,22645,2,2,2017/5/31,6,14.00108326,5,0,2,0,9.349528602,6.5,0.5,alb
Philippines,38,20,2,1,1,2015/9/30,3,3.632975931,2,9,9225,2,2,2015/9/30,2,3.012065101,9,1,5,1,10.58304411,1.75,0.75,aeg
Philippines,38,20,2,2,2,2016/8/31,1,1.689653066,3,8,9226,3,3,2016/9/30,2,2.52863621,9,1,5,1,10.58304411,1.75,0.75,aeg
Philippines,38,20,2,3,3,2018/8/31,1,1.138308029,5,8,9228,5,5,2018/9/30,2,2.299381801,9,1,5,1,10.58304411,1.75,0.75,aeg
Philippines,38,20,2,5,5,2019/7/31,5,12.06644885,6,7,9229,6,6,2019/8/31,3,5.750226787,8,1,5,1,10.58304411,1.75,0.75,aeg
Singapore,1,1,2,1,1,2014/7/31,3,7.061657985,1,7,1,1,1,2014/7/31,5,8.035368196,7,1,3,0,0.627490757,2.666666667,33.33333333,aeg
