date,Year,Month,Cases,Hemisphere,model,country,facet
2014/4/1,2014,4,-0.487416425,N,obs,Belize,N-obs
2014/5/1,2014,5,-0.564425375,N,obs,Belize,N-obs
2014/6/1,2014,6,-0.364202107,N,obs,Belize,N-obs
2014/7/1,2014,7,-0.171679734,N,obs,Belize,N-obs
2014/8/1,2014,8,0.294224409,N,obs,Belize,N-obs
2014/9/1,2014,9,0.255719935,N,obs,Belize,N-obs
2014/10/1,2014,10,0.894894213,N,obs,Belize,N-obs
2014/11/1,2014,11,0.151757853,N,obs,Belize,N-obs
2014/12/1,2014,12,-0.212109432,N,obs,Belize,N-obs
2015/1/1,2015,1,-0.121623917,N,obs,Belize,N-obs
2015/2/1,2015,2,-0.481640754,N,obs,Belize,N-obs
2015/3/1,2015,3,-0.44313628,N,obs,Belize,N-obs
2015/4/1,2015,4,-0.352650764,N,obs,Belize,N-obs
2015/5/1,2015,5,-0.410407476,N,obs,Belize,N-obs
2015/6/1,2015,6,-0.137025706,N,obs,Belize,N-obs
2015/7/1,2015,7,0.265346053,N,obs,Belize,N-obs
2015/8/1,2015,8,0.411663057,N,obs,Belize,N-obs
2015/9/1,2015,9,0.471344992,N,obs,Belize,N-obs
2015/10/1,2015,10,0.351981121,N,obs,Belize,N-obs
2015/11/1,2015,11,0.265346053,N,obs,Belize,N-obs
2015/12/1,2015,12,-0.165904062,N,obs,Belize,N-obs
2016/1/1,2016,1,0.176785762,N,obs,Belize,N-obs
2016/2/1,2016,2,-0.15435272,N,obs,Belize,N-obs
2016/3/1,2016,3,0.015066968,N,obs,Belize,N-obs
2016/4/1,2016,4,-0.285267934,N,obs,Belize,N-obs
2016/5/1,2016,5,-0.452762398,N,obs,Belize,N-obs
2016/6/1,2016,6,-0.317996737,N,obs,Belize,N-obs
2016/7/1,2016,7,-0.196707642,N,obs,Belize,N-obs
2016/8/1,2016,8,0.207589341,N,obs,Belize,N-obs
2016/9/1,2016,9,0.280747843,N,obs,Belize,N-obs
2016/10/1,2016,10,-0.106222127,N,obs,Belize,N-obs
2016/11/1,2016,11,-0.529771347,N,obs,Belize,N-obs
2016/12/1,2016,12,-0.504743439,N,obs,Belize,N-obs
2017/1/1,2017,1,-0.221735551,N,obs,Belize,N-obs
2017/2/1,2017,2,0.022767863,N,obs,Belize,N-obs
2017/3/1,2017,3,-0.063867205,N,obs,Belize,N-obs
2017/4/1,2017,4,-0.504743439,N,obs,Belize,N-obs
2017/5/1,2017,5,-0.575976717,N,obs,Belize,N-obs
2017/6/1,2017,6,-0.523995676,N,obs,Belize,N-obs
2017/7/1,2017,7,-0.317996737,N,obs,Belize,N-obs
2017/8/1,2017,8,-0.42773449,N,obs,Belize,N-obs
2017/9/1,2017,9,-0.545173137,N,obs,Belize,N-obs
2017/10/1,2017,10,-0.697265812,N,obs,Belize,N-obs
2017/11/1,2017,11,-0.724218944,N,obs,Belize,N-obs
2017/12/1,2017,12,-0.808928788,N,obs,Belize,N-obs
2018/1/1,2018,1,-0.79930267,N,obs,Belize,N-obs
2018/2/1,2018,2,-0.664537009,N,obs,Belize,N-obs
2018/3/1,2018,3,-0.704966707,N,obs,Belize,N-obs
2018/4/1,2018,4,-0.716518049,N,obs,Belize,N-obs
2018/5/1,2018,5,-0.758872971,N,obs,Belize,N-obs
2018/6/1,2018,6,-0.660686561,N,obs,Belize,N-obs
2018/7/1,2018,7,-0.514369558,N,obs,Belize,N-obs
2018/8/1,2018,8,-0.647209995,N,obs,Belize,N-obs
2018/9/1,2018,9,-0.346875093,N,obs,Belize,N-obs
2018/10/1,2018,10,-0.214034656,N,obs,Belize,N-obs
2018/11/1,2018,11,-0.269866144,N,obs,Belize,N-obs
2018/12/1,2018,12,-0.497042544,N,obs,Belize,N-obs
2019/1/1,2019,1,-0.498967768,N,obs,Belize,N-obs
2019/2/1,2019,2,-0.431584937,N,obs,Belize,N-obs
2019/3/1,2019,3,-0.42773449,N,obs,Belize,N-obs
2019/4/1,2019,4,-0.647209995,N,obs,Belize,N-obs
2019/5/1,2019,5,-0.404631805,N,obs,Belize,N-obs
2019/6/1,2019,6,0.236467697,N,obs,Belize,N-obs
2019/7/1,2019,7,1.437807305,N,obs,Belize,N-obs
2019/8/1,2019,8,4.096541277,N,obs,Belize,N-obs
2019/9/1,2019,9,3.428488642,N,obs,Belize,N-obs
2019/10/1,2019,10,3.913645023,N,obs,Belize,N-obs
2019/11/1,2019,11,2.804716154,N,obs,Belize,N-obs
2019/12/1,2019,12,1.093192257,N,obs,Belize,N-obs
2014/4/1,2014,4,0.447792697,S,obs,Brazil,S-obs
2014/5/1,2014,5,0.174616451,S,obs,Brazil,S-obs
2014/6/1,2014,6,-0.363577399,S,obs,Brazil,S-obs
2014/7/1,2014,7,-0.534363889,S,obs,Brazil,S-obs
2014/8/1,2014,8,-0.598708947,S,obs,Brazil,S-obs
2014/9/1,2014,9,-0.563673391,S,obs,Brazil,S-obs
2014/10/1,2014,10,-0.544323275,S,obs,Brazil,S-obs
2014/11/1,2014,11,-0.540358476,S,obs,Brazil,S-obs
2014/12/1,2014,12,-0.633633932,S,obs,Brazil,S-obs
2015/1/1,2015,1,0.199542559,S,obs,Brazil,S-obs
2015/2/1,2015,2,1.027593244,S,obs,Brazil,S-obs
2015/3/1,2015,3,2.53007839,S,obs,Brazil,S-obs
2015/4/1,2015,4,2.379107998,S,obs,Brazil,S-obs
2015/5/1,2015,5,0.969084813,S,obs,Brazil,S-obs
2015/6/1,2015,6,-0.091933367,S,obs,Brazil,S-obs
2015/7/1,2015,7,-0.426200692,S,obs,Brazil,S-obs
2015/8/1,2015,8,-0.523053944,S,obs,Brazil,S-obs
2015/9/1,2015,9,-0.535880307,S,obs,Brazil,S-obs
2015/10/1,2015,10,-0.477901042,S,obs,Brazil,S-obs
2015/11/1,2015,11,-0.252713083,S,obs,Brazil,S-obs
