country,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2019/10/1,2019/11/1,2019/12/1
Mexico,0.620251198,0.501660668,0.306390826,0.09333605,0.119649007,-0.21994121,-0.890302065,-0.391230545,0.44692097,0.53314875,0.666462874,0.572800408,0.347573156,0.11943034,-0.392834104,-1.178286815,-1.752434086,-1.60024169,-1.672766324,-0.747949695,0.448670308,0.558149704,0.366742983,0.505888234,0.611212953,0.591897347,0.450346756,0.24756934,-0.5276789,-0.715368277,-0.753780821,-0.102954239,0.636505463,0.786365408,0.791540533,0.74511019,0.769455142,0.7190159,0.549257236,0.478846386,0.301142813,-0.25631286,-0.592695958,-0.209153626,0.675428231,0.860785158,0.834180644,0.810273026,0.788114746,0.743433741,0.610046727,0.550642128,0.527900736,-0.1732922,-0.533582915,0.0015687,0.589346229,0.728054146,0.718651454,0.681623803,0.751961763,0.554213693,0.287439666,-0.123071625,-1.384271351,-3.420500649,-4.550572923,-2.106019006,-0.30376365
Vietnam,1.056667607,1.046206744,1.046206744,0.840632112,0.93543368,0.872201501,0.732567664,0.732567664,0.758906622,1.021081993,0.832693064,0.839791507,1.010994733,0.987457792,0.950657971,0.818309378,0.584434376,0.445734544,-0.578962998,-0.780334605,-0.418220635,-0.049568625,0.810183529,0.745363541,0.808502319,0.614789558,0.684653177,0.208964125,-0.372827962,-0.293717688,-0.323699268,-0.287086248,0.12976045,0.559496426,0.663918252,0.29153022,0.203266691,0.040002512,-0.410655189,-1.036625742,-1.477102782,-2.033676718,-0.444372791,-0.004362754,0.663638051,0.514757558,0.851279775,0.850252369,0.891442016,0.838950902,0.478051138,0.29311803,-0.403369946,-0.405237957,-0.713553205,-0.713553205,-0.025844882,-0.278773599,-0.935566336,0.186174388,0.312825548,-0.005203359,-2.119325032,-1.397151903,-2.040308158,-2.391494263,-2.194605883,-3.241532759,-1.776731778
Laos,0.462327071,0.398022985,0.410654145,0.407209283,0.413524863,0.425581879,0.47955138,0.486441103,0.513999997,0.51916729,0.499072263,0.505387843,0.486441103,0.497349832,0.398597129,0.387114257,0.350943209,0.382521108,0.367593374,0.430175028,0.430749172,0.476106518,0.484144529,0.497349832,0.470939225,0.302715144,0.135065207,0.051814382,0.098320015,0.16090167,0.017939908,0.120711616,0.391133262,0.368741661,0.442232044,0.477254805,0.419266299,0.053536812,-0.323675547,-1.014370324,-0.598690342,-0.352382728,-0.074497215,0.23381791,0.405486853,0.508832704,0.517444859,0.490460109,0.502517125,0.469216795,0.334293043,-0.598116198,0.109802887,0.174681117,0.213148739,0.25448708,0.402041991,0.218316032,0.282620118,0.264247522,-0.021101858,-2.70522329,-3.840879373,-4.694056795,-2.858519637,-1.229100038,-1.93644498,0.125878909,0.51916729
Dominican Republic,0.328819313,0.112846828,0.111808498,0.282094496,0.476262067,0.401502361,0.138805059,0.309091057,0.334010959,0.426422263,0.385927422,0.366199166,0.320512679,0.223948058,0.135690071,-0.377244582,-0.888102576,-2.031303088,-3.552455449,-2.500627912,-0.971168917,-0.665900115,-0.453042618,0.060930365,-0.195536962,0.316359362,0.122191791,0.326742654,0.508450274,0.569711701,0.557251749,0.599823249,0.595669932,0.675621285,0.705732833,0.68288959,0.684966248,0.613321529,0.633049785,0.609168212,0.641356419,0.621628163,0.602938237,0.652778041,0.690157894,0.700541187,0.665237992,0.619551505,0.660046346,0.688081236,0.695349541,0.684966248,0.683927919,0.637203102,0.579056664,0.495990323,0.492875336,0.470032092,0.358930861,0.155418327,0.280017838,-0.055362512,-0.481077507,-2.405101621,-3.087283942,-2.344878524,-1.939930113,-1.633622983,-1.109266708
Jamaica,0.505812376,0.499745793,0.496712501,0.472446168,0.366280959,0.081151542,-0.291943333,-0.034113541,0.317748293,0.527045418,0.511878959,0.517945543,0.524012126,0.539178584,0.530078709,0.533112001,0.530078709,0.484579334,0.539178584,0.502779084,0.475479459,0.420880209,-0.261610416,0.047785334,0.296515251,-0.119045708,-0.028046958,-0.75907025,-0.018947083,-0.2312775,-0.519440208,-0.804569625,0.457279709,0.511878959,0.514912251,0.530078709,0.517945543,0.505812376,0.499745793,0.502779084,0.530078709,0.536145293,0.542211876,0.542211876,0.102384584,0.472446168,0.472446168,0.405713751,0.484579334,0.508845668,0.457279709,0.481546043,0.448179834,0.293481959,0.308648418,-0.167578375,-0.798503042,-5.403039795,-2.751942877,-0.43147475,0.317748293,0.351114501,0.075084959,-0.225210916,-0.865235458,-2.63061121,-2.745876293,-0.188811416,-1.814655751
Belize,0.487416425,0.564425375,0.364202107,0.171679734,-0.294224409,-0.255719935,-0.894894213,-0.151757853,0.212109432,0.121623917,0.481640754,0.44313628,0.352650764,0.410407476,0.137025706,-0.265346053,-0.411663057,-0.471344992,-0.351981121,-0.265346053,0.165904062,-0.176785762,0.15435272,-0.015066968,0.285267934,0.452762398,0.317996737,0.196707642,-0.207589341,-0.280747843,0.106222127,0.529771347,0.504743439,0.221735551,-0.022767863,0.063867205,0.504743439,0.575976717,0.523995676,0.317996737,0.42773449,0.545173137,0.697265812,0.724218944,0.808928788,0.79930267,0.664537009,0.704966707,0.716518049,0.758872971,0.660686561,0.514369558,0.647209995,0.346875093,0.214034656,0.269866144,0.497042544,0.498967768,0.431584937,0.42773449,0.647209995,0.404631805,-0.236467697,-1.437807305,-4.096541277,-3.428488642,-3.913645023,-2.804716154,-1.093192257
Thailand,1.074539044,0.882559797,0.551518659,0.278317422,0.306446249,0.465725735,0.556968619,0.574021721,0.80854582,0.853551944,0.933719102,0.840014945,0.714314248,-0.100366918,-0.95267039,-1.800402927,-2.524192819,-2.406227549,-1.857187998,-2.808997197,-0.564844181,0.074910838,0.603732795,0.664912994,0.939169062,0.969231747,0.659814644,0.000545251,-0.485907659,-0.088060556,0.203600224,0.393997225,0.634674505,0.715369079,0.882032381,0.938114231,0.941278724,0.654540489,0.041332051,-0.191082386,-0.037604471,0.417203508,0.584921641,0.582811979,0.794481406,0.923698207,0.967473695,0.86058415,0.772505759,0.035354675,-1.079777529,-1.163812401,-0.863888778,-0.27212857,-0.005783735,0.043441713,0.311017184,0.298359212,0.441288816,0.373603825,0.45060649,-0.150471392,-1.969527503,-2.62281952,-1.883734579,-1.208291109,-0.941243054,-0.514036487,0.478207902
Guatemala,0.482391471,0.374926311,0.213949693,0.046781666,0.003441808,-0.607296405,-0.752794502,-0.999566351,-0.560418599,0.243580005,0.486371662,0.328048505,0.352371895,0.244022248,-1.198133663,0.241811031,-0.501157976,-0.530346044,-0.559534112,0.32229934,-0.207508321,0.435513665,0.450549942,0.390404832,0.58587644,0.450992186,0.334682157,0.192722007,0.028649685,0.28780435,0.374926311,0.412074761,0.587645414,0.631869759,0.573493623,0.649117254,0.571282406,0.546959016,0.553150424,0.508926078,0.439051612,0.4297645,0.460721542,0.542094338,0.607546369,0.547401259,0.557130615,0.575262597,0.5040614,0.457183594,0.402345405,0.280286211,0.37094612,0.261269743,0.403229892,0.480622497,0.557572859,0.364312468,0.41826617,0.404998866,0.417381683,0.071105057,-0.509560602,-3.105971933,-5.073513071,-3.428809657,-2.251557576,-0.98408783,-0.188934096
Honduras,0.563326043,0.419949557,0.099873609,-0.3947095,-0.476043867,-0.370594189,-1.264176082,-0.861888846,0.088473643,-0.197621639,0.082554431,0.135388885,-0.377609552,-0.500378409,-1.083530478,-0.384405685,0.052300677,0.422141858,0.372595855,0.290823027,0.304853753,0.072250616,0.277669221,0.343657481,0.202254066,0.141527328,0.054492978,0.230753979,0.502380075,0.430034141,0.452395612,0.593579797,0.611775895,0.636110437,0.658471907,0.661102668,0.659129597,0.622956631,0.558502981,0.603445151,0.641591189,0.672941094,0.674256474,0.703633308,0.702098697,0.694425644,0.651237314,0.583714442,0.532195369,0.553241458,0.571656787,0.637425817,0.676448775,0.620325869,0.597525939,0.534168439,0.529345377,0.413811114,0.325461383,0.030596897,0.357688208,-0.233794605,-1.873854993,-3.761206936,-4.709596354,-2.325688232,-1.554875196,-1.401633355,-1.076953575
El Salvador,-0.117623705,-0.471477491,-1.286895048,-1.871354145,-4.005071286,-2.651810101,-1.024153314,0.104859214,0.431873791,0.282492402,0.655063006,0.476370375,0.341114886,-0.006735393,-0.70102336,-1.723032199,-2.519026644,-2.268645073,-1.959287871,-1.247342529,0.139820816,0.237289524,0.447765428,0.492968307,0.423398251,0.368307243,0.502503289,0.616923076,0.561125773,0.571013903,0.567482428,0.615157339,0.679077035,0.667423168,0.662479103,0.638818221,0.670248348,0.628223796,0.567835575,0.660360218,0.633167861,0.619395109,0.587964982,0.641290253,0.681549067,0.667776315,0.635993041,0.658241333,0.640230811,0.592909047,0.533580269,0.453768936,0.439289888,0.159243928,0.378195373,0.440702478,0.584786655,0.541702661,0.544174693,0.500031257,0.577723705,0.388789797,0.036348601,-0.919974805,-1.346576974,-1.032982002,-0.439341069,0.201621627,0.443880806
