country,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2019/10/1,2019/11/1,2019/12/1
Mexico,-0.0432961,0.024380328,-0.0432961,-0.072300283,-0.110972527,-0.062632222,0.362762465,0.391766649,0.391766649,0.391766649,0.391766649,0.391766649,0.382098588,0.362762465,0.391766649,0.285417977,0.256413794,0.285417977,0.188737366,0.391766649,0.391766649,0.391766649,0.391766649,0.391766649,0.391766649,0.362762465,0.198405427,0.285417977,-0.120640588,-0.178648955,0.121060939,0.024380328,0.391766649,0.391766649,0.391766649,0.372430526,0.188737366,-0.081968344,-0.517031092,-0.081968344,-0.546035275,-0.033628039,-0.004623855,0.382098588,0.391766649,0.391766649,0.391766649,0.391766649,0.372430526,0.285417977,0.295086038,0.04371645,0.304754099,0.246745733,0.382098588,0.391766649,0.391766649,0.391766649,0.391766649,0.333758282,0.391766649,0.217741549,0.04371645,-0.323669871,-2.595664222,-3.794503795,-6.201851001,-1.377488527,0.179069305
Vietnam,0.613496343,0.613343663,0.61290622,0.611727064,0.610178345,0.608864035,0.607393412,0.609883364,0.612456258,0.613544921,0.613585059,0.613537127,0.613463029,0.612988354,0.611098257,0.605640407,0.596769988,0.575295433,0.537720949,0.540086125,0.576694583,0.598248768,0.61073899,0.610763461,0.609234608,0.596109522,0.544411014,0.342017344,-0.345233382,-1.537999181,-2.903251241,-1.735817844,-0.153556375,0.357739553,0.532918396,0.551494145,0.529710153,0.452933763,0.183300766,-0.38863952,-1.331109165,-2.258594073,-2.055549103,-0.586623016,0.303930873,0.517564136,0.588034319,0.575180025,0.581594977,0.537162807,0.403903367,0.095371965,-0.28316815,-0.771917376,-0.97412162,-0.338368266,0.245656658,0.545912569,0.558814229,0.57211792,0.536002065,0.354877776,-0.103313146,-1.167257379,-2.571860188,-3.492420984,-2.422310584,-0.479054679,0.353748167
Laos,0.448961412,0.448949112,0.448835055,0.448907738,0.448916684,0.448942403,0.448898793,0.448949112,0.448954703,0.448977067,0.448975949,0.448979303,0.448978185,0.448927866,0.44886972,0.448640488,0.448557741,0.448404547,0.448007586,0.447924839,0.44860806,0.448831701,0.448953585,0.448946875,0.448871956,0.448091451,0.446124533,0.439616597,0.428792401,0.410165391,0.373214403,0.352097156,0.412240774,0.434579097,0.443201553,0.442302519,0.432405312,0.388297831,0.250612489,-0.100561113,-0.54377952,-0.976509192,-1.397148862,-0.459576667,0.164713323,0.349154048,0.411091262,0.398329222,0.38749608,0.258921849,0.080781074,-0.121068939,-0.157389261,-0.328373543,-0.450541594,-0.161566864,0.096390057,0.315102558,0.354522537,0.315517411,0.091787537,-1.180427879,-3.360592082,-5.099042978,-3.716189292,-1.61994951,-0.728902349,-0.068720309,0.325021011
Dominican Republic,0.51011653,0.512199471,0.506200581,0.466206197,0.385472986,0.218474891,0.091684719,0.138443843,0.333153824,0.444388305,0.496983088,0.511141945,0.515528322,0.506134218,0.483974343,0.402647612,-0.149591183,-1.695749026,-4.156966925,-3.131215066,-0.849721429,-0.021541186,0.301489061,0.392795924,0.437163306,0.450006678,0.435941478,0.346911293,0.141827284,-0.022616908,-0.117644913,0.109406304,0.277559329,0.440637192,0.491807847,0.508212342,0.516073141,0.516038889,0.507668594,0.489974838,0.398098538,0.173381798,0.052861855,0.132273694,0.257675596,0.419492028,0.492411536,0.509432564,0.514628676,0.512180739,0.504150287,0.468832885,0.330428126,0.080178239,-0.006123573,0.059304949,0.163569179,0.354685927,0.452378084,0.483039374,0.492229038,0.46398839,0.393309167,-0.023056295,-1.224967012,-3.223068888,-3.547009484,-1.866131632,-0.559391529
Jamaica,0.437029816,0.437761782,0.437661706,0.436462178,0.433528071,0.429206071,0.426628819,0.429369244,0.433874525,0.436609634,0.438520097,0.438921095,0.439297826,0.43928026,0.439038737,0.438389975,0.436888369,0.432783624,0.425521508,0.423652648,0.428457002,0.431618302,0.436172118,0.437584511,0.438262857,0.438387432,0.438269328,0.43589246,0.429746206,0.421802739,0.405091391,0.408382583,0.418423721,0.428854533,0.434804101,0.436791066,0.437838977,0.437672338,0.435536992,0.429219939,0.406743689,0.332609139,0.16535444,-0.047466621,-0.098366608,0.157114443,0.316394705,0.374610659,0.396669269,0.398285512,0.387042303,0.297998239,0.002692385,-0.91432994,-1.59816534,-1.911123906,-1.98837515,-0.85215092,-0.082358567,0.134699441,0.263681559,0.245670606,0.162107624,-0.153706236,-1.36289068,-4.078416717,-4.603508059,-2.569724834,-1.080325019
Belize,0.328231053,0.276693995,0.30636908,0.259033412,0.246561916,0.385030906,0.327464484,0.508271698,0.43524121,0.411285912,0.567784028,-0.025702939,-0.139155228,0.19204703,0.339272603,0.186975877,0.233898777,0.317277954,0.26749516,0.333066338,0.256777929,0.348368245,0.375537238,0.199358924,0.30585312,0.269868578,0.349989834,0.263352737,0.24753487,0.343090709,0.353011887,0.503288997,0.301297928,0.353984841,0.46255762,0.394642509,-0.039353773,0.167207229,0.334113,0.269588485,0.275824233,0.349621291,0.307916961,0.384146403,0.279259054,0.355193662,0.380313555,0.290049994,0.342722166,0.272654763,0.369168814,0.282015756,0.340334007,0.385222549,0.340776258,0.469648388,0.493721619,0.432263382,0.226837492,0.34661398,0.001244928,0.02232559,-1.131066704,-2.262125289,-3.902701996,-4.250164373,-3.985329346,-2.108737677,-1.124963631
Thailand,0.98140903,0.951676611,0.907014469,0.83916901,0.791775491,0.757013176,0.739886519,0.739012701,0.808332304,0.931003981,0.944356056,0.873844022,0.705676587,0.121476993,-1.189577612,-3.270596863,-3.410675409,-2.936934208,-2.021331116,-0.811661913,0.035761626,0.479211664,0.736236982,0.670285984,0.538897732,0.266240541,0.118555648,0.161242684,0.072607471,0.155289708,0.221940395,0.398378046,0.631215423,0.790249566,0.882269164,0.770073218,0.620982523,0.317143491,-0.050334939,-0.402899667,-0.749885115,-0.938708499,-0.929809156,-0.418350392,0.130127145,0.591945294,0.760879442,0.677202242,0.560656768,0.345801564,0.054820545,-0.20424804,-0.291249263,-0.311970255,-0.425606084,-0.078198217,0.213145997,0.484046372,0.533448117,0.195439475,-0.459271312,-1.767941834,-1.99632048,-1.572534068,-0.735050437,-0.055853976,0.224219833,0.525728125,0.773319117
Guatemala,0.26039642,0.259910361,0.259757833,0.259070244,0.259363159,0.260507781,0.260862061,0.261995315,0.262465923,0.262472324,0.262678711,0.262375421,0.262212629,0.261950947,0.261921369,0.261828771,0.261592143,0.261992335,0.262145084,0.262236799,0.26253722,0.26269935,0.26286137,0.262659287,0.261783741,0.254720547,0.239973784,0.215262264,0.1849646,0.166752737,0.156758071,0.191489973,0.193641368,0.224492635,0.22058452,0.21514075,0.189724423,0.172610938,0.203367289,0.216956959,0.223459154,0.231924567,0.242057745,0.252673118,0.257453469,0.260661854,0.259865663,0.257613612,0.253876787,0.243744603,0.239726782,0.23392509,0.231564658,0.234182908,0.239345572,0.244339594,0.252347865,0.256022443,0.25401872,0.252088612,0.251318025,0.238194218,-0.013014734,-1.365253329,-5.376918507,-5.383775645,-2.045259387,-0.569212879,-0.243688034
Honduras,0.640353504,0.123061701,-0.445488286,-1.027358544,-0.984555627,-0.340492337,0.008789034,0.597506046,0.8006557,0.79485761,0.876255263,0.782357099,0.691047891,0.144215935,-0.720410448,-1.715978161,-2.303669061,-1.391547841,-0.463708519,0.017732549,0.463691041,0.636688822,0.802146379,0.653571729,0.464107687,0.20613496,0.235374609,0.277796964,0.287864126,0.052657529,-0.004023257,0.373813878,0.423596605,0.681980904,0.689575252,0.657306321,0.446866206,0.06745946,0.018959935,0.165137884,0.263391946,0.311239157,0.278904825,0.628059342,0.76586885,0.870532722,0.844215233,0.793621202,0.604238912,0.225283203,0.020873463,-0.196100498,-0.088609747,0.104432715,0.38442736,0.29866648,0.410769655,0.545936646,0.402094508,0.186012475,0.056776631,-0.715596184,-1.027614508,-3.34533114,-5.049151579,-1.845061779,-0.188892915,0.295008564,0.481673916
El Salvador,0.907391078,-0.107829103,-0.092802289,-0.967777202,-2.675751085,-1.057928982,0.04991442,0.357159132,0.765832832,0.960420355,1.137927377,0.94028195,0.64303494,-0.141119519,-0.560429067,-1.666476396,-2.483588675,-2.167929172,-0.998848703,0.227536859,0.665297463,0.862618327,1.11484354,0.990664115,0.577580972,0.067509348,-0.536249162,-0.940632853,-1.140297423,-0.011760752,0.411925837,0.598911047,0.783889432,0.955665194,1.046407989,0.690105872,-0.001488028,-0.902513365,-0.183554456,-0.009938703,-0.020614184,-0.128714109,0.183716372,0.542552058,0.843850743,1.104438528,0.96843828,0.634201057,-0.683500373,-1.823198029,-0.737091744,-1.025408733,-0.521112554,0.044326697,0.678327896,0.966434937,1.178209276,1.267579107,1.304382403,1.057041694,0.516403623,-0.524556879,-0.638739405,-2.159208028,-1.89834067,-0.969183104,0.117329689,0.691578722,0.922853588
