country,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2019/10/1,2019/11/1,2019/12/1
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0.675077594,0.661564178,0.616995614,0.487681192,0.189863796,-0.384583703,-0.631591454,0.267506689,0.630362571,0.655558667,0.677956016,0.674820914,0.672830739,0.645461861,0.539286954,-0.072601376,-1.027062718,-2.223481911,-2.215837042,-0.446944234,0.438955856,0.643196829,0.664591353,0.650554414,0.637013007,0.595530561,0.391510467,-0.072960351,-1.234661357,-1.906081737,-1.199887158,-0.002569989,0.559531904,0.646084398,0.677556913,0.667364635,0.663974304,0.62038461,0.441025967,-0.195943185,-1.74863638,-2.498422627,-1.142713432,0.232300721,0.582131665,0.657207607,0.672400248,0.672107098,0.664519227,0.651200035,0.619108118,0.488319438,0.205093023,-0.346902946,-0.556573032,0.270027791,0.452913585,0.616569827,0.666914225,0.665227305,0.64109231,0.54915542,0.186618356,-1.012018394,-3.839886547,-2.597426449,-0.762926944,0.379340094,0.555224869
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0.735258412,0.736189189,0.728103065,0.680866754,0.445129764,-0.100143182,-1.288861536,-1.488440908,-0.652194878,0.172218038,0.555939358,0.605396062,0.591368888,0.498874166,0.320657959,-0.107329759,-1.651694264,-3.019280369,-1.779961435,-0.334392766,0.285936309,0.560515473,0.657324224,0.681897957,0.698067755,0.679834939,0.655774358,0.537017032,0.101753334,-0.755323114,-1.29300778,-0.575213511,0.021876149,0.458016737,0.653278406,0.708713515,0.728994652,0.73611387,0.724150938,0.671230152,0.527198562,0.250034043,-0.085938426,-0.085392819,0.17293143,0.46846042,0.668035505,0.707225496,0.733805298,0.731305673,0.695347069,0.622986519,0.404456654,-0.222596059,-0.739892426,-1.007457697,-0.457447586,0.234202876,0.538500764,0.612829417,0.627741442,0.565622499,0.063977879,-1.850705372,-3.9059843,-3.160101391,-0.454826714,0.213946233,0.547081057
Jamaica,-0.105954624,-2.176280678,-0.585030634,-0.211737183,0.00718436,0.662395124,0.483076571,-0.309748229,-1.73599052,-0.394763287,0.905391843,-0.42279811,0.193259523,0.110230808,0.412367966,0.413639312,-1.681161795,0.009229381,0.024878898,0.346477438,0.283412125,0.535953724,1.432968097,0.093003518,0.058246857,-1.087855833,0.220451128,0.306431106,0.328611215,0.716382804,1.091445273,-3.329863668,-1.113519649,-0.038912278,1.062543327,-0.114823625,0.220057771,0.16307971,0.355741969,0.413541516,-0.894869761,0.212781757,0.107733753,0.800539431,0.342656878,1.042286537,2.081220139,-0.110544511,-2.153389919,-0.713391005,0.111704266,0.279522022,0.542321324,1.241518507,0.474726975,1.507025669,0.281788713,-3.995632041,0.695095898,-0.267469977,0.243789575,0.005854336,0.51605552,0.53502575,0.325147067,-0.987452048,-0.296558823,0.407906299,0.123046417
Belize,0.922665099,0.894428887,0.795965227,0.597069896,0.117780453,-0.952006802,-1.89178961,-2.069826137,-0.413087699,0.322611387,0.72625346,0.705815621,0.578242246,0.207172322,-0.041575762,-0.913383284,-1.791547373,-1.517425637,-0.746449703,-0.174579582,0.45086883,0.785199053,0.900932793,0.887682927,0.880737008,0.840724306,0.811540923,0.752090173,0.630536595,0.43025208,-0.406194401,-1.021392321,-0.074442587,0.151868075,0.611908904,0.609351543,0.532230796,0.485251128,0.215907341,-0.246112021,-1.670298995,-2.254334997,-1.268940656,0.043027633,0.554099916,0.780010662,0.881021159,0.906489528,0.934052197,0.918539645,0.821749319,0.755405271,0.597943397,0.429283861,0.261539923,0.252373415,0.331956805,0.584609338,0.738356198,0.748343587,0.669402168,0.374116427,-0.340702806,-1.324413289,-2.577983239,-3.046948521,-1.759248851,-0.98357916,0.058855909
Thailand,0.843009063,0.72808531,0.449659579,0.126198862,-0.194052693,-0.678728092,-0.72093473,0.316441075,0.822277974,0.855027857,0.91592527,0.876807766,0.630194891,-0.101081536,-1.73560625,-2.391447052,-2.032643793,-1.65830365,-0.506173064,0.170321871,0.655837561,0.864891229,0.898538279,0.838573274,0.640215941,0.446124571,0.195294627,-0.397891323,-1.37442639,-0.996098741,-0.564351917,0.152966957,0.760403576,0.866459365,0.925076159,0.856106245,0.742307767,0.482827674,-0.09426759,-0.901820989,-2.01541222,-1.661003286,-0.744534326,0.393889304,0.785220713,0.883484768,0.905504682,0.90033397,0.879774665,0.819396667,0.70613422,0.470813951,-0.06784025,-0.615317385,-0.629963225,0.272396378,0.380050272,0.735212251,0.868181363,0.831446132,0.604729878,-0.084244231,-1.798380527,-2.83793103,-2.343074997,-0.921100656,0.058862092,0.692361953,0.819263939
Guatemala,-0.620737201,-2.63352793,-0.893196379,-0.256188019,-0.165619175,-0.091760583,-0.085418332,0.172744025,0.259735995,0.034970775,0.305727627,-0.307397116,-0.293823228,-0.046661222,0.254259186,0.255876987,-1.443140648,-1.113570344,-0.261632806,-0.104184875,0.072357024,0.363066653,0.349617389,-0.650076566,-0.334801064,-0.179978597,0.230481443,0.071603224,0.120820072,0.314993055,0.345900025,0.640044018,0.862359171,0.801408076,1.044740211,0.825772013,0.488206751,0.355476434,0.245204062,0.202561403,0.192253694,0.451634594,0.630960911,0.851683938,1.024424237,1.036868435,1.059672267,0.979699324,0.764874287,0.525858403,0.425771711,0.360030393,0.225418316,0.422034731,0.506538842,0.64836092,0.749625479,0.754837174,0.6983959,0.541708405,0.089054294,-1.845352155,-3.899762879,-4.031446298,-2.347000695,-0.654236171,-0.060277805,0.23074396,0.531414255
Honduras,-0.483990101,-4.773194788,-1.638690557,-0.202834833,0.026722147,0.23059927,0.176188298,0.670363478,0.820405665,0.695699597,0.961245418,0.191565449,-3.649096383,-0.354831143,0.06162641,-0.067499587,-0.035599495,0.066153072,0.023201585,0.16340252,0.145507768,0.362809487,0.461314598,-0.294870145,0.040636451,0.133743785,0.674951353,0.326103349,0.482853909,0.428301675,-0.595707915,-0.019487783,0.171258256,0.396817521,0.702690495,0.048077818,-0.260133827,0.143040392,0.371357406,0.477008803,-0.659891076,-1.3584221,-0.155943706,0.250642774,0.156962544,0.270182444,0.413805058,0.040386888,-0.055291414,0.136168782,0.507295369,0.378963578,0.283073383,0.640621555,0.721982172,1.028944433,1.331544838,1.55395867,1.673758238,0.899909471,-0.441707254,-0.942887458,-0.372284844,0.23401624,0.242755647,-2.089008604,-2.110131977,0.037117458,0.305769473
El Salvador,0.762012149,0.75458309,0.759745433,0.753237783,0.737500368,0.723153473,0.729937953,0.737301885,0.748502766,0.757548903,0.763012071,0.717850104,0.594187953,0.083331355,-1.203480452,-3.426940167,-4.613051286,-3.433829928,-1.342208018,-0.219431773,0.346666965,0.5597114,0.656217511,0.567899948,0.350610826,0.071257053,-0.054798478,-0.012609832,0.175939634,0.372142105,0.5317012,0.624041135,0.680193422,0.710481275,0.731727724,0.704727729,0.553410884,0.282898236,0.045930775,-0.169482067,-0.383956686,-0.149617813,-0.213421636,-0.031033128,-0.055119379,0.181548725,0.313163074,-0.035429288,-0.671914091,-1.369670758,-1.326971379,-0.790638009,-1.064668336,-0.379753785,0.14439837,0.363938376,0.486708334,0.489931881,0.535711168,0.471442642,0.064648693,-0.292667108,-0.185524714,-0.359587074,-0.15293244,0.05498442,0.384312057,0.45182943,0.408657348
