Year,Month,IR_detrend,Hemisphere,facet
2014,1,0.445496718,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,2,1.055384888,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,3,1.479218438,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,4,1.322057038,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,5,0.791169948,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,6,-0.288786912,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,7,-0.916802603,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,8,-1.189521701,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,9,-1.395309469,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,10,-1.131504948,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,11,-1.470983652,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2014,12,-1.24687546,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2015,1,-0.499284707,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,2,0.115266936,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,3,1.280557135,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,4,1.901935705,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,5,1.501746129,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,6,0.434135577,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,7,-0.882313442,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,8,-1.103923444,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,9,-0.739499103,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,10,-0.202733811,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,11,0.247348156,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2015,12,0.404302881,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,1,1.687556435,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,2,2.158859785,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,3,1.959300244,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,4,1.535056566,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,5,0.188589088,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,6,-0.906647995,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,7,-1.248435819,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,8,-1.350147272,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,9,-1.363124793,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,10,-0.833782645,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,11,0.143932503,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2016,12,0.410608967,Southern Hemisphere,Southern Hemisphere_Positive IOBW
2017,1,0.253528792,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,2,0.512827504,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,3,0.967814745,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,4,0.825663767,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,5,0.125498813,Southern Hemisphere,Southern Hemisphere_Negative IOBW
