date,year,month,time_id,country,country_id,case,last_yr_ir,ir,t2m,tp,rh,svpd,population,iobw,iobw_summer
2014/1/1,2014,1,1,Mexico,1,5187,194.8191002,4.3097,14.7405,23.9108,76.8008,0.3514,120355128,0.12,0.262666667
2014/2/1,2014,2,2,Mexico,1,5056,194.8191002,4.2009,17.7642,11.6774,71.7555,0.4935,120355128,0.065,0.262666667
2014/3/1,2014,3,3,Mexico,1,5246,194.8191002,4.3588,19.2102,29.9317,71.9221,0.535,120355128,0.118,0.262666667
2014/4/1,2014,4,4,Mexico,1,4466,194.8191002,3.7107,21.0481,35.5489,69.7436,0.6429,120355128,0.26,0.262666667
2014/5/1,2014,5,5,Mexico,1,6093,194.8191002,5.0625,21.1171,122.1857,78.742,0.4766,120355128,0.41,0.262666667
2014/6/1,2014,6,6,Mexico,1,8772,194.8191002,7.2884,21.8548,200.145,85.1236,0.3727,120355128,0.418,0.262666667
2014/7/1,2014,7,7,Mexico,1,11695,194.8191002,9.7171,21.3791,141.8482,86.5212,0.3252,120355128,0.276,0.262666667
2014/8/1,2014,8,8,Mexico,1,11334,194.8191002,9.4171,21.3578,144.8679,87.2738,0.3015,120355128,0.283,0.262666667
2014/9/1,2014,9,9,Mexico,1,15993,194.8191002,13.2882,20.6458,205.382,89.2023,0.2377,120355128,0.295,0.262666667
2014/10/1,2014,10,10,Mexico,1,25190,194.8191002,20.9297,19.4957,134.7896,85.699,0.2906,120355128,0.42,0.262666667
2014/11/1,2014,11,11,Mexico,1,18343,194.8191002,15.2407,16.7047,50.8574,81.1344,0.3162,120355128,0.383,0.262666667
2014/12/1,2014,12,12,Mexico,1,6844,194.8191002,5.6865,15.8865,27.0743,80.431,0.3105,120355128,0.37,0.262666667
2015/1/1,2015,1,13,Mexico,1,5661,103.8119378,4.6456,15.2692,30.2867,77.9157,0.3525,121858258,0.164,0.398333333
2015/2/1,2015,2,14,Mexico,1,3832,103.8119378,3.1446,16.4907,34.0002,76.62,0.3951,121858258,0.151,0.398333333
2015/3/1,2015,3,15,Mexico,1,5117,103.8119378,4.1991,17.8829,95.9944,77.9516,0.4074,121858258,0.321,0.398333333
2015/4/1,2015,4,16,Mexico,1,8207,103.8119378,6.7349,20.9881,53.6651,76.1784,0.5067,121858258,0.388,0.398333333
2015/5/1,2015,5,17,Mexico,1,11337,103.8119378,9.3034,21.2974,108.2579,81.1086,0.4229,121858258,0.486,0.398333333
2015/6/1,2015,6,18,Mexico,1,18365,103.8119378,15.0708,21.5738,169.1092,85.3867,0.3487,121858258,0.553,0.398333333
2015/7/1,2015,7,19,Mexico,1,29141,103.8119378,23.9138,21.4865,132.6297,86.4068,0.3282,121858258,0.561,0.398333333
2015/8/1,2015,8,20,Mexico,1,37018,103.8119378,30.3779,21.8395,130.3797,86.5629,0.3357,121858258,0.682,0.398333333
2015/9/1,2015,9,21,Mexico,1,34930,103.8119378,28.6645,21.1296,172.185,88.4198,0.2657,121858258,0.724,0.398333333
2015/10/1,2015,10,22,Mexico,1,35925,103.8119378,29.481,20.1468,126.0594,85.9243,0.2959,121858258,0.851,0.398333333
2015/11/1,2015,11,23,Mexico,1,23237,103.8119378,19.0689,18.6988,68.3971,83.6014,0.306,121858258,0.762,0.398333333
2015/12/1,2015,12,24,Mexico,1,6820,103.8119378,5.5967,16.5788,32.1246,79.1325,0.3418,121858258,0.898,0.398333333
2016/1/1,2016,1,25,Mexico,1,5318,180.2036368,4.3119,14.7478,28.0399,75.8132,0.3614,123333376,0.968,0.878666667
