"","country","climate_var","method","LibSize","q025","q500","q975"
"1","Mexico","t2m","observed",5,0.538347091206748,0.538347091206748,0.538347091206748
"2","Mexico","t2m","observed",10,0.645486998088134,0.645486998088134,0.645486998088134
"3","Mexico","t2m","observed",15,0.663683494769453,0.663683494769453,0.663683494769453
"4","Mexico","t2m","observed",20,0.680096734198989,0.680096734198989,0.680096734198989
"5","Mexico","t2m","observed",25,0.698341659748725,0.698341659748725,0.698341659748725
"6","Mexico","t2m","observed",30,0.697447998907031,0.697447998907031,0.697447998907031
"7","Mexico","t2m","observed",35,0.706290438035909,0.706290438035909,0.706290438035909
"8","Mexico","t2m","observed",40,0.711019814705275,0.711019814705275,0.711019814705275
"9","Mexico","t2m","observed",45,0.719722912834946,0.719722912834946,0.719722912834946
"10","Mexico","t2m","observed",50,0.722239446377961,0.722239446377961,0.722239446377961
"11","Mexico","t2m","observed",55,0.727677953326516,0.727677953326516,0.727677953326516
"12","Mexico","t2m","observed",60,0.728398463950627,0.728398463950627,0.728398463950627
"13","Mexico","t2m","ebisuzaki",5,-0.0327106544559222,0.139456028886471,0.419984658428869
"14","Mexico","t2m","ebisuzaki",10,-0.0303971488287609,0.23232965398209,0.530083760406331
"15","Mexico","t2m","ebisuzaki",15,-0.0214816364223701,0.27394553731293,0.582974187326345
"16","Mexico","t2m","ebisuzaki",20,-0.0276113018736244,0.324008072849772,0.620744794492305
"17","Mexico","t2m","ebisuzaki",25,-0.0309813318574544,0.331172105089912,0.633154999597485
"18","Mexico","t2m","ebisuzaki",30,-0.0439354108361306,0.344325483898922,0.640576523195171
"19","Mexico","t2m","ebisuzaki",35,-0.0463833089701486,0.356044255487347,0.655534841222031
"20","Mexico","t2m","ebisuzaki",40,-0.0453687191787554,0.358117382150058,0.671141065687434
"21","Mexico","t2m","ebisuzaki",45,-0.0509560513709523,0.368481227221477,0.674026180272833
"22","Mexico","t2m","ebisuzaki",50,-0.0416295552856642,0.370401407048069,0.676969701550034
"23","Mexico","t2m","ebisuzaki",55,-0.047466754500358,0.370977430356905,0.690399361697663
"24","Mexico","t2m","ebisuzaki",60,-0.0392871432261192,0.378927790550381,0.696584458720394
"25","Mexico","t2m","seasonal",5,0.501494281588035,0.562818110359994,0.621182360136306
"26","Mexico","t2m","seasonal",10,0.64205045221088,0.67906337423136,0.719177845665873
"27","Mexico","t2m","seasonal",15,0.675569235761479,0.708136501426156,0.75116108187654
"28","Mexico","t2m","seasonal",20,0.69233806739734,0.725976850930146,0.770383277105593
