"","var_col","delta_rho_mean","delta_rho_ci_lower","delta_rho_ci_upper","delta_RMSE_mean","delta_RMSE_ci_lower","delta_RMSE_ci_upper"
"1","ir, t2m",0.283283627352638,0.0205652306356564,0.594597524259477,-0.278156811266956,-0.571819166462758,-0.0362093457481658
"2","ir, tp",0.253089774978686,-0.0563386320264068,0.526496312396487,-0.253915818905625,-0.509632734097046,-0.0378462177214247
"3","ir, rh",0.253327726552185,0.0229729364512197,0.511624474386989,-0.25188637681135,-0.462999320079797,-0.0451555829188119
"4","ir, svpd",0.266894682614299,-0.0286415943824313,0.548367700273536,-0.263464665815285,-0.50684740231169,-0.0280287525851729
"5","ir, t2m, tp",0.335334781784019,0.0623613528376346,0.642048710943656,-0.330461557462141,-0.633287888434409,-0.113749752180863
"6","ir, t2m, rh",0.338585599962932,0.0451095325823614,0.609437935845999,-0.333522440300239,-0.5852145551941,-0.10173448945768
"7","ir, t2m, svpd",0.341676211058591,0.0502443837113945,0.62365141437347,-0.334405817288177,-0.598344136690064,-0.115010605294585
"8","ir, tp, rh",0.329220660541627,0.0407125646275709,0.604376514934243,-0.32097058255834,-0.564245287640916,-0.0820580913749452
"9","ir, tp, svpd",0.332939600050959,0.0492486213627971,0.606509845906852,-0.329256705292207,-0.574849138870401,-0.105217313252083
"10","ir, rh, svpd",0.319689704492444,0.0208528061077007,0.598368694486891,-0.312812701077176,-0.535817952939871,-0.0936961168006658
"11","ir, t2m, tp, rh",0.35869877684231,0.0650637713702282,0.635135663825937,-0.35007935474547,-0.62344707241971,-0.13098075171665
"12","ir, t2m, tp, svpd",0.363152756733599,0.0831644906889501,0.641699818385131,-0.353338483642443,-0.627222808654582,-0.136794837329442
"13","ir, t2m, rh, svpd",0.359397670743675,0.0486635058778184,0.63028818752518,-0.348660734517478,-0.617194777597152,-0.110246422634498
"14","ir, tp, rh, svpd",0.347373050974266,0.0511042336458101,0.614210248804632,-0.340232282952247,-0.58477600957441,-0.103301883222836
"15","ir, iobw",0.201202926219606,0.0191835853443168,0.471320640035134,-0.212553759679162,-0.487490662069518,-0.0582970195262794
