"","var_col","delta_rho_mean","delta_rho_ci_lower","delta_rho_ci_upper","delta_RMSE_mean","delta_RMSE_ci_lower","delta_RMSE_ci_upper"
"1","ir, t2m",-0.0436486731577954,-0.519249368201393,0.47819598195525,-0.122416704085256,-0.344469345747553,-0.0132331858515745
"2","ir, tp",-0.00461249436189932,-0.52226736098325,0.532189824313753,-0.125559145401609,-0.284055980447333,-0.0075912595175216
"3","ir, rh",-0.013323462620446,-0.484765787491111,0.48526998862751,-0.117843296990844,-0.265038143626158,0.0716830023705907
"4","ir, svpd",0.108595850053724,-0.468295315751384,0.528237425180733,-0.219372584972993,-0.481611787285609,0.060612473000212
"5","ir, t2m, tp",-0.184625000489512,-0.645236167709238,0.522336549742243,-0.119510935006777,-0.119510935006777,-0.119510935006777
"6","ir, t2m, rh",-0.1041453967917,-0.645236167709238,0.530851295709868,-0.16518078199223,-0.21894804787516,-0.0491303727967533
"7","ir, t2m, svpd",-0.133403131631992,-0.645236167709238,0.53470631735128,-0.167189462984429,-0.294829097419648,-0.0395498285492104
"8","ir, tp, rh",-0.0670769665533436,-0.56567803329064,0.513474646125536,-0.269218099909885,-0.483857218872032,-0.0684548137582284
"9","ir, tp, svpd",-0.0411906553642993,-0.645236167709238,0.565538100173315,-0.143385799609371,-0.254286869308992,-0.0482130699930778
"10","ir, rh, svpd",-0.104615777676544,-0.645236167709238,0.626370079075806,-0.129590027063875,-0.236258294286822,0.048499325539428
"11","ir, t2m, tp, rh",-0.161857998444577,-0.641153001004373,0.321367576825158,-0.205790471027759,-0.413008855244681,-0.0358961928964697
"12","ir, t2m, tp, svpd",-0.209644124701873,-0.641153001004373,0.221887056711328,-0.055746063584169,-0.055746063584169,-0.055746063584169
"13","ir, t2m, rh, svpd",-0.200287137755004,-0.645236167709238,0.293806201513466,-0.308923410953085,-0.345907430686976,-0.271939391219194
"14","ir, tp, rh, svpd",-0.09913090476597,-0.56567803329064,0.563002427142305,-0.222498866516877,-0.301916414909635,-0.106950981043739
"15","ir, iobw",0.00519703508744602,-0.595344897083468,0.497469793914539,-0.147285104798548,-0.404612753071814,0.0394192175815632
