"","var_col","delta_rho_mean","delta_rho_ci_lower","delta_rho_ci_upper","delta_RMSE_mean","delta_RMSE_ci_lower","delta_RMSE_ci_upper"
"1","ir, t2m",0.0408978382121061,-0.52226736098325,0.601686435654235,-0.22896363931642,-0.502764930005964,-0.0414473721402748
"2","ir, tp",0.100080254981486,-0.645236167709238,0.599485239918248,-0.209916006570537,-0.428033981018923,0.0185343666815816
"3","ir, rh",0.0355290474044675,-0.597742328696983,0.561396364697455,-0.245508465827391,-0.385248090462082,0.0309067503995324
"4","ir, svpd",0.0955829396621132,-0.597742328696983,0.515221366494635,-0.252464323106841,-0.423779660155539,-0.0767687405583664
"5","ir, t2m, tp",-0.08297933941929,-0.645236167709238,0.561112689549163,-0.31095077553867,-0.479083478555461,-0.032511170558586
"6","ir, t2m, rh",-0.09425884358772,-0.597742328696983,0.600037696526861,-0.194612285856859,-0.42291371822407,-0.0103854023735566
"7","ir, t2m, svpd",-0.00206813176365824,-0.641153001004373,0.56114985268827,-0.268324082618582,-0.446229477098662,0.0147110124996476
"8","ir, tp, rh",-0.0671300129004562,-0.645236167709238,0.583744658843632,-0.255351564901806,-0.342347372057139,-0.191686523899053
"9","ir, tp, svpd",-0.0377033524734161,-0.560101361627504,0.511006091799768,-0.193573635340048,-0.322441387688094,-0.0292735259731724
"10","ir, rh, svpd",-0.066301614342389,-0.641153001004373,0.565321423182772,-0.171569579096709,-0.321578257485672,-0.00795098577186087
"11","ir, t2m, tp, rh",-0.197407879764843,-0.56567803329064,0.128772086262265,-0.17406635777613,-0.234350478038992,-0.113782237513269
"12","ir, t2m, tp, svpd",-0.141237618821923,-0.645236167709238,0.558347886012353,-0.129447232098249,-0.278514488532366,0.0689287924798315
"13","ir, t2m, rh, svpd",-0.180624283411061,-0.641153001004373,0.398502487137491,-0.193596521004552,-0.326487706453326,-0.0607053355557785
"14","ir, tp, rh, svpd",-0.132927609660179,-0.645236167709238,0.551638999452367,-0.346230267087855,-0.361603429786929,-0.330860945318523
"15","ir, iobw",-0.0144623156525692,-0.543770283465117,0.454183643235809,-0.102532807452903,-0.250862123443137,0.0689396022762381
