old_time,date,country,cases,month,time,time_yr,time_14
2014.081451,2014/1/31,Belize,440,1,396,30,31
2014.158111,2014/2/28,Belize,220,2,424,58,59
2014.242984,2014/3/31,Belize,215,3,455,89,90
2014.32512,2014/4/30,Belize,236,4,485,119,120
2014.409993,2014/5/31,Belize,196,5,516,150,151
2014.492129,2014/6/30,Belize,300,6,546,180,181
2014.577002,2014/7/31,Belize,400,7,577,211,212
2014.661875,2014/8/31,Belize,642,8,608,242,243
2014.744011,2014/9/30,Belize,622,9,638,272,273
2014.828884,2014/10/31,Belize,954,10,669,303,304
2014.91102,2014/11/30,Belize,568,11,699,333,334
2014.995893,2014/12/31,Belize,379,12,730,364,365
2015.080767,2015/1/31,Belize,426,1,761,395,396
2015.157426,2015/2/28,Belize,239,2,789,423,424
2015.2423,2015/3/31,Belize,259,3,820,454,455
2015.324435,2015/4/30,Belize,306,4,850,484,485
2015.409309,2015/5/31,Belize,276,5,881,515,516
2015.491444,2015/6/30,Belize,418,6,911,545,546
2015.576318,2015/7/31,Belize,627,7,942,576,577
2015.661191,2015/8/31,Belize,703,8,973,607,608
2015.743326,2015/9/30,Belize,734,9,1003,637,638
2015.8282,2015/10/31,Belize,672,10,1034,668,669
2015.910335,2015/11/30,Belize,627,11,1064,698,699
2015.995209,2015/12/31,Belize,403,12,1095,729,730
2016.080082,2016/1/31,Belize,581,1,1126,760,761
2016.15948,2016/2/29,Belize,409,2,1155,789,790
2016.244353,2016/3/31,Belize,497,3,1186,820,821
2016.326489,2016/4/30,Belize,341,4,1216,850,851
2016.411362,2016/5/31,Belize,254,5,1247,881,882
2016.493498,2016/6/30,Belize,324,6,1277,911,912
2016.578371,2016/7/31,Belize,387,7,1308,942,943
2016.663244,2016/8/31,Belize,597,8,1339,973,974
2016.74538,2016/9/30,Belize,635,9,1369,1003,1004
2016.830253,2016/10/31,Belize,434,10,1400,1034,1035
2016.912389,2016/11/30,Belize,214,11,1430,1064,1065
2016.997262,2016/12/31,Belize,227,12,1461,1095,1096
2017.082136,2017/1/31,Belize,374,1,1492,1126,1127
2017.158795,2017/2/28,Belize,501,2,1520,1154,1155
2017.243669,2017/3/31,Belize,456,3,1551,1185,1186
