country,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2019/10/1,2019/11/1,2019/12/1
Mexico,0.566745213,0.552758979,0.61017615,0.490409821,0.293203923,0.078036757,0.104610601,-0.238346576,-0.915353907,-0.411334205,0.435127391,0.5222101,0.656846004,0.562254896,0.334794566,0.104389766,-0.412953664,-1.20619396,-1.786033772,-1.632332422,-1.705576121,-0.771590145,0.436894073,0.547458933,0.354154458,0.494679303,0.601048292,0.581541176,0.438587144,0.233799235,-0.549135415,-0.73868569,-0.777479086,-0.120199705,0.626591572,0.777937345,0.78316378,0.73627309,0.760859417,0.709920081,0.538478298,0.467369341,0.287903877,-0.275078843,-0.614797102,-0.227452036,0.66590025,0.853094949,0.826226658,0.802082001,0.779704027,0.73458002,0.599870504,0.539876922,0.516910054,-0.191235051,-0.555097967,-0.014640445,0.578964765,0.719047939,0.709552022,0.67215725,0.743192595,0.543483898,0.274064866,-0.14051655,-1.414220786,-3.470638836,-4.61191552,-2.143124406,-0.323000096
Vietnam,1.010344412,1.026113569,1.026113569,1.015663004,1.015663004,0.810290733,0.904998982,0.841829047,0.702332661,0.702332661,0.728645692,0.990562985,0.802359501,0.809450956,0.980485654,0.956971882,0.920208287,0.787989973,0.554345191,0.415781892,-0.607906967,-0.80908035,-0.447322834,-0.079033715,0.779872124,0.715115942,0.778192568,0.584670493,0.65446534,0.179244543,-0.401974845,-0.322942445,-0.352894511,-0.316317533,0.100118834,0.52943179,0.633750826,0.261729362,0.173552717,0.010449251,-0.439764836,-1.0651192,-1.505162648,-2.061188708,-0.473449247,-0.033872343,0.6334709,0.484736962,0.820927916,0.819901521,0.861050622,0.808611178,0.448066674,0.263315609,-0.432486763,-0.434352936,-0.742364687,-0.742364687,-0.055333325,-0.308013066,-0.964159274,0.15647724,0.283003727,-0.03471212,-2.146752712,-1.42529047,-2.06781362,-2.418654028,-2.221959459,-3.267855769,-1.804496697
Laos,0.463670087,0.417782488,0.454957251,0.389901416,0.402680241,0.399195107,0.405584519,0.417782488,0.472382922,0.47935319,0.507234262,0.512461963,0.492132015,0.498521427,0.47935319,0.490389448,0.390482272,0.378865158,0.342271251,0.374218313,0.359116065,0.422429334,0.423010189,0.468897788,0.477029767,0.490389448,0.463670087,0.293479374,0.123869518,0.039645445,0.086694755,0.150008023,0.00537496,0.109348126,0.382931148,0.360277777,0.434627303,0.470059499,0.411393076,0.041388012,-0.340234165,-1.03900354,-0.618464033,-0.369276949,-0.088142803,0.223776693,0.39745254,0.502006561,0.510719396,0.483419179,0.495617149,0.46192752,0.325426436,-0.617883177,0.098311868,0.163948559,0.202865889,0.244687498,0.393967406,0.20809359,0.273149426,0.254562044,-0.034123226,-2.749623499,-3.898556021,-4.761707551,-2.904711963,-1.256243562,-1.971857752,0.114575827,0.512461963
Dominican Republic,0.208056775,0.231217029,0.327016261,0.108046588,0.106993849,0.279643014,0.476505172,0.400707977,0.134365058,0.307014223,0.332279955,0.425973709,0.384916895,0.364914858,0.31859435,0.220689641,0.131206842,-0.388846132,-0.906793627,-2.06585906,-3.60812142,-2.541697003,-0.991012732,-0.681507522,-0.465696065,0.055409647,-0.20461684,0.314383395,0.117521237,0.324910783,0.509140075,0.571251665,0.558618799,0.601781091,0.597570135,0.678631024,0.70916045,0.686000196,0.688105673,0.615466695,0.635468733,0.61125574,0.643890643,0.623888606,0.604939307,0.65547077,0.693369367,0.703896755,0.668103636,0.621783128,0.662839942,0.69126389,0.698633061,0.688105673,0.687052934,0.639679688,0.580726314,0.496507209,0.493348993,0.470188739,0.357545686,0.151208879,0.277537536,-0.0624971,-0.494120013,-2.444845032,-3.136494432,-2.383786181,-1.973218044,-1.662660095,-1.131026994
Jamaica,0.481969885,0.491170421,0.497304112,0.491170421,0.488103576,0.463568812,0.35622922,0.067945746,-0.309276248,-0.048594383,0.307159693,0.518772031,0.503437803,0.509571494,0.515705185,0.531039413,0.521838876,0.524905722,0.521838876,0.475836194,0.531039413,0.494237267,0.466635658,0.411432439,-0.278607793,0.034210445,0.285691774,-0.134466056,-0.042460692,-0.781570452,-0.033260155,-0.247939339,-0.539289659,-0.827573134,0.448234585,0.503437803,0.506504649,0.521838876,0.509571494,0.497304112,0.491170421,0.494237267,0.521838876,0.527972567,0.534106258,0.534106258,0.089413664,0.463568812,0.463568812,0.396098212,0.475836194,0.500370958,0.448234585,0.472769349,0.439034048,0.282624929,0.297959156,-0.183535584,-0.821439443,-5.476910878,-2.79648793,-0.45035114,0.307159693,0.340894993,0.061812055,-0.241805648,-0.888910043,-2.673814111,-2.790354239,-0.205003502,-1.848832678
Belize,0.508851498,0.518580186,0.477719696,0.555549201,0.353192488,0.158618724,-0.312249783,-0.27333503,-0.919319925,-0.168265198,0.199479215,0.108029546,0.471882483,0.432967731,0.341518062,0.399890191,0.123595447,-0.283063719,-0.430939779,-0.491257645,-0.370621912,-0.283063719,0.152781511,-0.193559787,0.141107086,-0.030117826,0.273417245,0.442696419,0.306494784,0.183913313,-0.22469159,-0.29862962,0.092463645,0.520525924,0.495231335,0.209207903,-0.037900777,0.049657417,0.495231335,0.567223627,0.514688711,0.306494784,0.41740183,0.536091825,0.689805098,0.717045425,0.802657881,0.792929193,0.656727558,0.697588049,0.709262475,0.752068702,0.652836083,0.504960023,0.63921592,0.335680849,0.201424952,0.257851344,0.487448384,0.489394122,0.421293305,0.41740183,0.63921592,0.394052978,-0.253877654,-1.468017937,-4.155081609,-3.47991065,-3.970236534,-2.849491657,-1.119730901
Thailand,1.019047089,0.993746917,1.044698652,0.852839013,0.522004121,0.248973096,0.277084398,0.436264649,0.527450686,0.544493163,0.778871148,0.823849232,0.903966444,0.810320668,0.684698285,-0.129475314,-0.98124778,-1.828452159,-2.551791112,-2.433899337,-1.885201851,-2.83641805,-0.593663197,0.04569324,0.574185727,0.63532781,0.909413009,0.939456964,0.630232636,-0.028626016,-0.514775854,-0.117176619,0.174302448,0.364580827,0.605108159,0.685752458,0.852311926,0.908358835,0.911521357,0.624961767,0.012135372,-0.220134265,-0.066751971,0.387772652,0.555386293,0.553277945,0.764815497,0.893951793,0.937700007,0.830877058,0.742853542,0.00616172,-1.108275728,-1.192258245,-0.892521482,-0.301129955,-0.03495106,0.01424372,0.281652485,0.269002399,0.411842955,0.344200133,0.421154824,-0.179548572,-1.997471366,-2.650356366,-1.911731893,-1.236709242,-0.969827564,-0.542887157,0.448739039
Guatemala,0.46037563,0.453218487,0.474689915,0.365990813,0.203165822,0.034078331,-0.009759167,-0.627510027,-0.774678769,-1.024284113,-0.580093958,0.233136356,0.478715807,0.318574744,0.343177421,0.233583677,-1.225131424,0.23134707,-0.52015289,-0.549676103,-0.579199315,0.312759566,-0.223131477,0.427273846,0.442482773,0.381647062,0.579363123,0.442930095,0.325284565,0.181694394,0.015738153,0.277868496,0.365990813,0.403565811,0.581152409,0.625884549,0.566838124,0.643330084,0.564601517,0.53999884,0.546261339,0.501529199,0.430852417,0.421458667,0.452771166,0.535078304,0.601281872,0.540446161,0.550287232,0.56862741,0.496608663,0.449192594,0.39372474,0.270264032,0.36196492,0.251029212,0.394619383,0.472900629,0.550734553,0.355255099,0.409828311,0.396408669,0.408933668,0.058681008,-0.528651997,-3.154875965,-5.145008895,-3.48142059,-2.290651011,-1.008627864,-0.204343978
Honduras,0.594336983,0.523266513,0.552713156,0.407915375,0.084666506,-0.414819417,-0.496960055,-0.39046505,-1.292905044,-0.886629924,0.073153533,-0.215777819,0.067175643,0.120533847,-0.397549957,-0.521535825,-1.110468696,-0.404413461,0.036621983,0.410129409,0.360092255,0.277508811,0.291678624,0.056769686,0.264224611,0.330867015,0.188061864,0.12673314,0.038836016,0.216844297,0.491163029,0.418099929,0.440683069,0.583266817,0.601643293,0.626219064,0.648802204,0.651459044,0.649466414,0.612934863,0.547842283,0.593229967,0.631754147,0.663414824,0.664743244,0.694411291,0.692861467,0.685112351,0.641495894,0.573303666,0.521273883,0.542528603,0.561126483,0.627547484,0.666957277,0.610278023,0.587252077,0.523266513,0.518395639,0.401716082,0.312490538,0.014703052,0.345036828,-0.252309369,-1.908627718,-3.814689028,-4.772479855,-2.364939991,-1.586485866,-1.431724935,-1.103826596
El Salvador,0.186892224,-0.083903484,-0.120797609,-0.479709381,-1.306782517,-1.899595874,-4.06381237,-2.691207667,-1.040285153,0.104865482,0.436554405,0.285037759,0.662933886,0.481687023,0.344498192,-0.008324259,-0.712536379,-1.749153814,-2.556526204,-2.302565678,-1.988786524,-1.266664634,0.140326825,0.23918875,0.452673197,0.498522206,0.427957716,0.372079236,0.508193481,0.624248785,0.567653915,0.577683385,0.574101432,0.622457808,0.687291172,0.675470725,0.670455989,0.646456899,0.678336288,0.635711037,0.574459627,0.668306817,0.640725773,0.626756153,0.594876764,0.648964266,0.68979854,0.67582892,0.643591336,0.666157645,0.64788968,0.599891499,0.539714675,0.458762519,0.444076508,0.16002757,0.382108707,0.44550929,0.591653005,0.547953169,0.550460536,0.505686114,0.584489098,0.392854569,0.035375578,-0.934617516,-1.367317537,-1.049240038,-0.447113601,0.203011016,0.448733048
