country,2014/2/28,2014/3/31,2014/4/30,2014/5/31,2014/6/30,2014/7/31,2014/8/31,2014/9/30,2014/10/31,2014/11/30,2014/12/31,2015/1/31,2015/2/28,2015/3/31,2015/4/30,2015/5/31,2015/6/30,2015/7/31,2015/8/31,2015/9/30,2015/10/31,2015/11/30,2015/12/31,2016/1/31,2016/2/29,2016/3/31,2016/4/30,2016/5/31,2016/6/30,2016/7/31,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/31,2017/1/31,2017/2/28,2017/3/31,2017/4/30,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/31,2018/1/31,2018/2/28,2018/3/31,2018/4/30,2018/5/31,2018/6/30,2018/7/31,2018/8/31,2018/9/30,2018/10/31,2018/11/30,2018/12/31,2019/1/31,2019/2/28,2019/3/31,2019/4/30,2019/5/31,2019/6/30,2019/7/31,2019/8/31,2019/9/30,2019/10/31,2019/11/30,2019/12/31
Mexico,0.700746833,0.701494224,0.700404481,0.692871076,0.666882529,0.604872735,0.407006184,-0.141312541,-1.142046308,-0.796142046,0.403893008,0.611941275,0.66877575,0.668537104,0.642684266,0.527006401,0.074278809,-0.895775753,-2.613779261,-3.702609687,-2.854117319,-0.512306744,0.503002574,0.62813247,0.66771603,0.676716613,0.662667073,0.576304612,0.353555532,-0.07527227,-0.728150046,-0.805287136,-0.523958716,0.138974084,0.597115751,0.674666127,0.683023025,0.686097599,0.669813915,0.629053072,0.53204513,0.355499672,-0.218329318,-0.923375876,-1.02470177,0.127061361,0.566795944,0.663538736,0.688844228,0.691200444,0.684094513,0.663842597,0.584887069,0.345420344,-0.180036645,-0.928068513,-0.90431587,-0.232356312,0.399682061,0.645699014,0.6811463,0.682377471,0.670958976,0.612396572,0.289561788,-0.220686194,-1.160270063,-2.815025898,-2.727880194,-0.383150439,0.405669546
Vietnam,0.698541677,0.699581252,0.697437959,0.673546072,0.58106544,0.261509473,-0.495025355,-1.545608982,-1.196744664,-0.127901528,0.581086414,0.695396728,0.703741599,0.710273837,0.704482189,0.683667013,0.601771388,0.331339075,-0.410951426,-1.380207208,-2.837814592,-1.317202651,0.241195191,0.594345864,0.658678079,0.673414515,0.668835022,0.619247962,0.427964662,-0.154558293,-1.194630404,-1.667119095,-0.91656121,0.048826372,0.459292378,0.696976733,0.716591448,0.706814247,0.707208026,0.68336347,0.594780633,0.292556636,-0.576646933,-1.637092119,-1.683693696,-0.304618199,0.446408707,0.697626459,0.70204163,0.714699345,0.711755645,0.685432645,0.629171584,0.504227545,0.221936503,-0.048078877,-0.523494786,-0.068091929,0.555931309,0.68612128,0.701781356,0.709217153,0.696811717,0.594805273,0.39364413,-0.462067626,-2.086780156,-3.879388626,-2.396925914,-0.425121106,0.271181739
Laos,0.870905594,0.861002716,0.840783821,0.809772208,0.737267254,0.522425319,-0.044062406,-1.314102761,-1.840081191,-0.619232883,0.70167478,0.840977906,0.822617006,0.772729203,0.596545378,0.256808011,-0.324698038,-1.79776611,-2.176202447,-1.179369147,-0.442615488,0.09485709,0.670050267,0.827599657,0.820131356,0.782548091,0.74102524,0.537039583,0.137092721,-0.419874622,-0.913981109,-1.101965532,-0.68551009,-0.015077903,0.40887308,0.848615323,0.865316852,0.815374569,0.695242734,0.4289501,-0.005575681,-0.790995882,-1.81723023,-2.152653461,-1.250288505,0.199440557,0.683900676,0.875407005,0.860756421,0.869727463,0.852537884,0.812785634,0.709483582,0.492028877,0.144676793,-0.487538799,-1.045998667,-0.365831583,0.625494696,0.821518326,0.819023595,0.788589697,0.609907737,0.088309273,-1.799826136,-2.886277924,-2.728928294,-0.596484072,0.084763532,0.493447627,0.664143726
Dominican Republic,0.483126512,0.494864029,0.502846736,0.502982447,0.492810818,0.472915025,0.387631546,0.210353572,-0.044992934,0.036190766,0.169243793,0.340518247,0.428086974,0.458521193,0.463141511,0.440579438,0.39231972,0.226699544,-0.536591128,-3.04787306,-3.814236668,-1.495602138,-0.475282343,0.158311522,0.359031788,0.431079718,0.451696294,0.448695957,0.40762319,0.351334737,0.217681453,0.064335941,-0.034436476,0.046514712,0.23426136,0.392106664,0.462048711,0.48312841,0.494955135,0.498956691,0.495545902,0.480206843,0.437450984,0.378934224,0.322446002,0.299316887,0.375929143,0.445437961,0.490009776,0.499348163,0.504351887,0.504425436,0.502389782,0.484898813,0.422938998,0.289375871,-0.02984368,-0.111171631,0.041288917,0.239120832,0.347940082,0.398994198,0.425587247,0.358203766,0.078424188,-1.630679431,-3.876170385,-3.737047881,-1.656952659,-0.450662313,0.11438267
Jamaica,0.436951916,0.197878569,0.281085006,0.189406862,0.283248125,0.210169754,0.219508231,0.315452695,0.245868319,0.347669451,0.280608714,0.324505803,0.541691031,0.139877033,0.042228986,0.186523212,0.303297593,0.218327148,0.229231093,0.323803551,0.272647828,0.364654502,0.36378113,0.367333011,0.492094175,-0.123176972,0.152659743,0.224430087,0.298252348,0.229457053,0.252965988,0.329985703,0.26957427,0.380360469,0.317858529,0.356136588,0.614778034,0.255730311,0.335363541,0.223488166,0.334113908,-0.115834556,0.130703582,0.28685383,0.190496546,0.337917138,0.249924928,0.272160872,0.510471543,0.2539922,0.354954489,0.281217027,0.352138881,0.312119664,0.115538902,0.307559851,0.257077437,0.346881386,0.290268104,0.292737411,0.556658694,0.293585902,0.358476412,0.359952004,0.011654879,-1.443730895,-3.811170221,-4.484088477,-4.071675198,-2.815686303,-1.610977535
Belize,0.437355037,0.237936488,0.335582812,0.272784824,0.360138578,0.337701218,0.106517667,0.292271942,0.273993757,0.307821709,0.307433519,0.257933798,0.398635896,0.283277034,0.276877451,0.30126685,0.350899665,0.29450126,0.315164038,0.361014777,0.084157946,0.307965894,0.275557607,0.297096585,0.351809138,0.263823189,0.302531239,0.279450594,0.337701218,0.300124464,0.301255759,0.339375979,0.351742591,0.387855316,0.408928466,0.353406261,0.489494447,0.300767749,-0.006767153,0.221244334,0.302719788,0.280626254,0.275180508,0.330436527,0.329050135,0.342636772,0.350278561,0.500164116,0.305448207,0.302287234,0.378893681,0.08939296,0.299026441,0.272285723,0.291939208,0.326421537,0.308886458,0.375777073,0.347084315,0.385004895,0.442013312,0.340729097,0.202223043,-0.260277151,-2.073344462,-3.437010204,-4.384902689,-3.992764634,-3.080275041,-1.483007882,-0.723553725
Thailand,0.706208913,0.705530471,0.701091508,0.692821976,0.676166776,0.642049884,0.55876507,0.441266475,0.215658541,0.248024882,0.638841937,0.691595368,0.676391891,0.631128165,0.462126096,0.15415781,-0.46191074,-1.444836272,-3.309370188,-3.939749395,-2.411102939,-0.791994583,0.338496295,0.608154353,0.596874624,0.562075929,0.488630862,0.373690621,0.301280915,0.10618983,-0.133303583,-0.329615122,-0.209840243,0.17932184,0.421698491,0.685163675,0.695000672,0.654831657,0.635627007,0.574600989,0.523941455,0.415984083,0.186433983,-0.177713681,-0.465920467,-0.146389378,0.439733314,0.687350053,0.648222028,0.668297894,0.611882578,0.493244269,0.419567018,0.310072862,0.192203077,-0.318521927,-0.568198694,-0.28139152,0.472348599,0.658432179,0.640961278,0.596249646,0.330728885,-0.8430851,-1.897929477,-2.360432668,-2.691993721,-1.50068051,-0.616028062,0.093028488,0.447863055
Guatemala,0.256467417,0.256049716,0.255601351,0.250267228,0.239440488,0.218173506,0.187891217,0.17834168,0.188929011,0.223855497,0.248778808,0.245329823,0.251003206,0.247782009,0.234613803,0.197747519,0.184253503,0.166855358,0.147952653,0.16577377,0.185055548,0.224456869,0.246572379,0.242803394,0.238025989,0.230608961,0.208328502,0.201300983,0.213399545,0.220414367,0.229212431,0.233511772,0.236228114,0.247456844,0.255628681,0.255982682,0.25626825,0.254850093,0.253457221,0.25369932,0.254074733,0.251456737,0.245552231,0.242188787,0.24438252,0.249996939,0.254372998,0.256834007,0.256503032,0.255494182,0.253181229,0.250349541,0.249138512,0.247606515,0.247627066,0.250952097,0.252632796,0.255390671,0.256305803,0.257703624,0.257709434,0.25740977,0.247516562,0.087601551,-1.271472138,-5.16088009,-5.840995818,-1.955144558,-0.492474034,-0.143139989,-0.050244217
Honduras,0.363169012,0.363742436,0.363549019,0.363398837,0.362852719,0.36318039,0.362281571,0.359298404,0.359166426,0.361191612,0.36260014,0.36320542,0.36422484,0.364534306,0.363567223,0.36141461,0.359958296,0.356592847,0.350749389,0.344783054,0.33656171,0.342482534,0.349650327,0.357125311,0.361071011,0.361571618,0.353459497,0.318446535,0.293063446,0.285570258,0.265482233,0.226926333,0.137429042,0.202112117,0.28641674,0.327097947,0.347565978,0.3545176,0.353395783,0.348096168,0.343174283,0.332675173,0.306682252,0.270718135,0.198899125,0.172357811,0.250168187,0.32039663,0.343492852,0.351147599,0.353566445,0.343597524,0.313729444,0.283308421,0.252737215,0.255237978,0.20507708,0.138701041,0.160372806,0.270852389,0.320835799,0.328677137,0.255674872,-0.095148775,-1.276842507,-2.442949134,-2.888096386,-4.435368041,-4.133444671,-2.813524033,-1.708209392
El Salvador,1.069338671,1.025167752,0.701847981,-0.081810192,-1.290278008,-3.302764967,-4.221332411,-2.084734295,-0.354698849,0.355850632,0.678628147,0.808914744,0.916727427,0.842538017,0.690971017,0.383296988,-0.026337907,-0.934476823,-2.000229363,-1.139570353,-0.273920771,0.302778021,0.561897328,0.648999272,0.77778349,0.701003604,0.257342328,-0.206474991,0.189071778,0.256857207,0.370980894,0.011656729,-0.127648782,0.377869364,0.706139017,0.850266015,0.891335404,0.806331015,0.537888565,0.466250417,0.281697696,-0.934725182,-1.701876158,-1.053474493,-0.401877268,0.066866531,0.509669726,0.772214609,0.833970492,0.731149436,0.106584496,-1.153495296,-0.828173477,-0.89874946,-1.289256955,-0.585606485,0.162430584,0.52949371,0.73463278,0.893658337,0.937595867,0.889973017,0.697374365,0.390675429,0.438278882,0.314728113,-0.326465673,-0.725992082,-0.16697903,0.238895068,0.393328311
