country,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2019/10/1,2019/11/1,2019/12/1
Mexico,0.41762,0.41809,0.41821,0.41608,0.41138,0.40361,0.38212,0.3654,0.36973,0.40237,0.41517,0.41877,0.4192,0.41924,0.41922,0.41804,0.41454,0.40542,0.37487,0.33674,0.34246,0.39296,0.41208,0.418,0.41888,0.41911,0.41901,0.41778,0.41261,0.40311,0.36892,0.29366,0.28009,0.34934,0.40073,0.41532,0.41764,0.41806,0.41753,0.40437,0.36129,0.26499,-0.31451,-1.43919,-1.71822,-0.72288,0.107,0.3334,0.38044,0.39019,0.39311,0.30332,0.14196,-0.56748,-2.8079,-5.20107,-4.05188,-1.05115,0.07832,0.34881,0.38655,0.39305,0.39639,0.34591,0.22601,0.05751,-0.50894,-1.36723,-1.16703,-0.13421,0.27593
Vietnam,0.68943,0.6844,0.6839,0.66265,0.58576,0.30323,-0.76973,-2.38043,-2.1818,-0.42237,0.50978,0.68156,0.68825,0.68067,0.67724,0.64719,0.57172,0.10135,-1.2363,-2.3131,-1.77186,-0.00007,0.5596,0.68494,0.6886,0.68437,0.68247,0.66376,0.60887,0.39021,-0.25959,-1.10188,-1.19722,-0.16859,0.52409,0.67619,0.68538,0.67886,0.67974,0.64957,0.5559,0.25345,-0.46361,-1.56396,-1.16072,0.09042,0.5534,0.6863,0.69087,0.68711,0.68419,0.67047,0.62419,0.42404,-0.20515,-1.48773,-1.40748,-0.08276,0.55839,0.6844,0.68903,0.68452,0.68182,0.65631,0.53446,-0.1928,-2.01282,-3.41749,-2.08233,-0.11076,0.55749
Laos,0.59818,0.59361,0.59094,0.58084,0.56687,0.53952,0.45901,0.31757,0.26787,0.45856,0.592,0.59849,0.59826,0.59665,0.59295,0.57892,0.5165,0.29209,-0.47065,-2.33448,-3.01465,-0.226,0.55638,0.59812,0.59558,0.58374,0.55821,0.47259,0.27331,-0.28911,-1.78114,-2.87845,-1.64717,0.01078,0.5705,0.59824,0.59704,0.58491,0.57412,0.52981,0.4299,0.17773,-0.38636,-1.27136,-0.91784,0.2781,0.55335,0.59823,0.59791,0.59176,0.58372,0.56165,0.48484,0.25906,-0.27446,-1.11277,-1.19641,0.07657,0.57586,0.59848,0.59781,0.58964,0.57088,0.48566,0.28095,-0.36378,-2.41622,-3.50499,-1.82058,0.00866,0.5635
Dominican Republic,0.865558652,0.855188562,0.848106531,0.729424029,0.571850583,0.429758443,-0.218299869,-1.153813422,-1.103567759,-0.337851208,0.232380143,0.517715359,0.687877615,0.684006706,0.629488354,0.575665539,0.558327657,0.426767251,0.057729156,-2.06776381,-3.26619612,-1.418588755,-0.190962591,0.269881569,0.440869142,0.447475567,0.423592654,0.158268664,-0.016711828,-0.005179922,-0.311721598,-1.083379346,-0.697928937,-0.028361859,0.333361064,0.566218686,0.677358316,0.666830468,0.667830641,0.629178277,0.286654474,-0.598350744,-1.141188087,-0.64991676,-0.077437934,0.365090709,0.61773885,0.770049538,0.848633429,0.837399165,0.802027866,0.774198662,0.765414705,0.474421169,-0.46772834,-1.022565424,-0.780070551,-0.1172016,0.348535402,0.595267215,0.739655788,0.738347093,0.700029675,0.65029459,-0.22227336,-3.577094415,-3.838831927,-0.889711088,0.075830961,0.392147441,0.550250893
Jamaica,0.684921855,0.691013836,0.694394417,0.693961719,0.692915005,0.687133524,0.675903404,0.655121119,0.627610492,0.618802455,0.62697995,0.646970159,0.669365458,0.674629984,0.677074178,0.673861416,0.658781941,0.602985369,0.450289215,0.128871503,-0.33795866,-0.700612055,-0.739246431,-0.290292566,0.153329505,0.254695951,0.272251741,0.097684226,-0.253306351,-1.037798207,-2.483638612,-3.489565715,-2.906834053,-1.285087308,-0.385376867,0.228289529,0.498224378,0.579871545,0.625698616,0.631674218,0.618869257,0.58581107,0.52707383,0.454950431,0.403155905,0.405545401,0.465989689,0.543962069,0.612959059,0.636020978,0.65017105,0.641648374,0.614094454,0.534769981,0.352179756,0.012425349,-0.43200998,-0.581826914,-0.433235917,-0.050198022,0.216906953,0.333409433,0.399358687,0.337660064,0.166500829,-0.369806272,-1.437883316,-2.902457966,-3.21929616,-1.543207349,-0.507130606
Belize,0.61718,0.527,-0.16969,-2.77513,-0.28071,-0.05654,-0.06208,0.0391,0.06253,0.18247,0.27451,0.36894,0.3955,0.20061,0.17703,0.21008,-0.14463,-0.48842,-0.40052,-0.08809,0.19268,0.4705,0.59191,0.70239,0.74798,0.6335,0.50237,0.08812,-0.1104,-0.15862,-0.08039,-1.85609,-2.13193,-0.05478,0.08688,0.17375,0.16615,0.03163,-0.05723,0.04912,0.20911,0.22907,0.27323,0.31327,0.42455,0.63079,0.75268,0.81972,0.85925,0.82712,0.49341,-0.26119,-0.83359,-1.01759,-0.78315,-0.23593,0.17138,0.53092,0.70172,0.78866,0.83491,0.79466,0.64991,0.50836,0.48087,0.2306,-6.28386,-0.83656,-0.03214,0.08324,0.09991
Thailand,0.817,0.81185,0.80158,0.76598,0.71717,0.62474,0.41285,0.2009,0.03205,0.21353,0.57267,0.7589,0.79864,0.78232,0.67287,0.30958,-0.34193,-1.33159,-3.95618,-3.7567,-1.61985,-0.09638,0.49192,0.74217,0.77483,0.75952,0.68222,0.5186,0.3108,0.10003,-0.15753,-0.45499,-0.58489,-0.09674,0.45452,0.73177,0.77423,0.73357,0.53754,-0.05624,-0.76237,-1.40885,-1.82214,-1.57268,-0.8616,-0.00225,0.48718,0.74897,0.78867,0.77116,0.73757,0.65318,0.51044,0.27744,-0.02703,-0.52469,-1.07698,-0.28921,0.38376,0.70884,0.76744,0.76218,0.69056,0.44539,-0.07201,-0.72434,-1.4428,-1.77549,-1.12964,-0.16178,0.46976
Guatemala,0.84849,0.71843,0.18097,-1.5421,-2.32076,-2.11319,-1.32337,-0.41198,0.06263,0.3887,0.5858,0.73243,0.69676,0.35728,0.23259,-0.41267,-1.16458,-1.3899,-0.92783,-0.27907,0.05547,0.34648,0.50184,0.62137,0.58165,0.16582,0.024,0.15017,0.48384,0.52555,0.44342,-0.1891,-0.67946,-0.39697,-0.08422,0.27011,0.29005,-0.10095,-0.38691,-0.22948,0.18016,0.22843,0.30216,0.49631,0.6564,0.83103,0.9766,1.0365,1.05965,0.98953,0.79226,0.56772,0.57886,0.45868,0.33791,0.45072,0.5725,0.80552,0.96141,1.05564,1.06561,1.00634,0.50114,-1.30004,-2.89439,-3.57214,-2.82419,-1.18931,-0.29192,0.30827,0.54131
Honduras,0.215,-0.13147,-0.67027,-0.48803,0.03536,0.177,0.1475,-0.14932,-0.53378,-0.23309,0.11573,0.37903,0.41382,-0.01162,-0.43513,-0.33426,0.02953,0.10054,0.08677,0.27109,0.49406,0.7233,0.86672,0.97197,0.99768,0.80791,-0.83621,-5.08302,-1.99355,-0.39276,-0.14696,0.00945,0.0674,0.25683,0.34066,0.53632,0.45693,0.10152,-0.3007,-0.18185,0.26628,0.25367,0.24631,0.39925,0.57152,0.76892,0.90288,0.97047,0.98259,0.91171,0.6342,0.33779,0.31752,0.13991,-0.11887,-0.01509,0.1773,0.53078,0.76972,0.87549,0.93089,0.82316,0.26635,-1.79769,-3.14338,-2.74029,-1.56035,-0.4186,0.04269,0.45457,0.54021
El Salvador,-0.825042978,-0.924107778,-1.81476369,-3.819859961,-4.231882981,-3.174625112,-2.728138052,-2.003929548,-0.844361387,-0.068688643,0.260960683,0.424626241,0.48860881,0.441935535,0.312424923,0.032539819,0.142113833,0.232369438,0.200841795,0.289861022,0.397271374,0.491854303,0.551818643,0.568509748,0.575309828,0.576391659,0.469908591,0.239324065,0.279351808,0.340088884,0.242878652,0.324325063,0.451053824,0.51410911,0.539300315,0.563409689,0.583809928,0.562791499,0.506536293,0.336688845,0.380271174,0.378416607,0.36806194,0.371307433,0.47562684,0.513336373,0.546718583,0.562636952,0.575000734,0.561091479,0.526318344,0.298670216,0.22943304,0.262660703,0.154323067,0.220314751,0.327106914,0.431889962,0.496645268,0.531572951,0.556764156,0.496799815,0.200841795,-0.271763754,-0.333582662,-0.324155279,-0.36201936,-0.257236311,-0.059570354,0.213823766,0.423080768
