country,date,obs_cases_std,pre_cases_std_without,pre_cases_std_with
Belize,2014/2/28,0.508851498,0.61718,0.437355037
Belize,2014/3/31,0.518580186,0.527,0.237936488
Belize,2014/4/30,0.477719696,-0.16969,0.335582812
Belize,2014/5/31,0.555549201,-2.77513,0.272784824
Belize,2014/6/30,0.353192488,-0.28071,0.360138578
Belize,2014/7/31,0.158618724,-0.05654,0.337701218
Belize,2014/8/31,-0.312249783,-0.06208,0.106517667
Belize,2014/9/30,-0.27333503,0.0391,0.292271942
Belize,2014/10/31,-0.919319925,0.06253,0.273993757
Belize,2014/11/30,-0.168265198,0.18247,0.307821709
Belize,2014/12/31,0.199479215,0.27451,0.307433519
Belize,2015/1/31,0.108029546,0.36894,0.257933798
Belize,2015/2/28,0.471882483,0.3955,0.398635896
Belize,2015/3/31,0.432967731,0.20061,0.283277034
Belize,2015/4/30,0.341518062,0.17703,0.276877451
Belize,2015/5/31,0.399890191,0.21008,0.30126685
Belize,2015/6/30,0.123595447,-0.14463,0.350899665
Belize,2015/7/31,-0.283063719,-0.48842,0.29450126
Belize,2015/8/31,-0.430939779,-0.40052,0.315164038
Belize,2015/9/30,-0.491257645,-0.08809,0.361014777
Belize,2015/10/31,-0.370621912,0.19268,0.084157946
Belize,2015/11/30,-0.283063719,0.4705,0.307965894
Belize,2015/12/31,0.152781511,0.59191,0.275557607
Belize,2016/1/31,-0.193559787,0.70239,0.297096585
Belize,2016/2/29,0.141107086,0.74798,0.351809138
Belize,2016/3/31,-0.030117826,0.6335,0.263823189
Belize,2016/4/30,0.273417245,0.50237,0.302531239
Belize,2016/5/31,0.442696419,0.08812,0.279450594
Belize,2016/6/30,0.306494784,-0.1104,0.337701218
Belize,2016/7/31,0.183913313,-0.15862,0.300124464
Belize,2016/8/31,-0.22469159,-0.08039,0.301255759
Belize,2016/9/30,-0.29862962,-1.85609,0.339375979
Belize,2016/10/31,0.092463645,-2.13193,0.351742591
Belize,2016/11/30,0.520525924,-0.05478,0.387855316
Belize,2016/12/31,0.495231335,0.08688,0.408928466
Belize,2017/1/31,0.209207903,0.17375,0.353406261
Belize,2017/2/28,-0.037900777,0.16615,0.489494447
Belize,2017/3/31,0.049657417,0.03163,0.300767749
Belize,2017/4/30,0.495231335,-0.05723,-0.006767153
Belize,2017/5/31,0.567223627,0.04912,0.221244334
Belize,2017/6/30,0.514688711,0.20911,0.302719788
Belize,2017/7/31,0.306494784,0.22907,0.280626254
Belize,2017/8/31,0.41740183,0.27323,0.275180508
Belize,2017/9/30,0.536091825,0.31327,0.330436527
Belize,2017/10/31,0.689805098,0.42455,0.329050135
Belize,2017/11/30,0.717045425,0.63079,0.342636772
Belize,2017/12/31,0.802657881,0.75268,0.350278561
Belize,2018/1/31,0.792929193,0.81972,0.500164116
Belize,2018/2/28,0.656727558,0.85925,0.305448207
Belize,2018/3/31,0.697588049,0.82712,0.302287234
Belize,2018/4/30,0.709262475,0.49341,0.378893681
Belize,2018/5/31,0.752068702,-0.26119,0.08939296
Belize,2018/6/30,0.652836083,-0.83359,0.299026441
Belize,2018/7/31,0.504960023,-1.01759,0.272285723
Belize,2018/8/31,0.63921592,-0.78315,0.291939208
Belize,2018/9/30,0.335680849,-0.23593,0.326421537
Belize,2018/10/31,0.201424952,0.17138,0.308886458
Belize,2018/11/30,0.257851344,0.53092,0.375777073
Belize,2018/12/31,0.487448384,0.70172,0.347084315
Belize,2019/1/31,0.489394122,0.78866,0.385004895
Belize,2019/2/28,0.421293305,0.83491,0.442013312
Belize,2019/3/31,0.41740183,0.79466,0.340729097
Belize,2019/4/30,0.63921592,0.64991,0.202223043
Belize,2019/5/31,0.394052978,0.50836,-0.260277151
Belize,2019/6/30,-0.253877654,0.48087,-2.073344462
Belize,2019/7/31,-1.468017937,0.2306,-3.437010204
Belize,2019/8/31,-4.155081609,-6.28386,-4.384902689
Belize,2019/9/30,-3.47991065,-0.83656,-3.992764634
Belize,2019/10/31,-3.970236534,-0.03214,-3.080275041
Belize,2019/11/30,-2.849491657,0.08324,-1.483007882
Belize,2019/12/31,-1.119730901,0.09991,-0.723553725
Bolivia,2014/2/28,-1.214994783,0.255,-0.628507126
Bolivia,2014/3/31,-2.228765876,0.33774,-1.341282804
Bolivia,2014/4/30,-1.763751342,0.34389,-0.880036452
Bolivia,2014/5/31,-0.695301632,0.33705,-0.248018638
Bolivia,2014/6/30,0.311573059,0.33295,0.601851522
Bolivia,2014/7/31,0.558858331,0.25979,1.062242631
Bolivia,2014/8/31,0.628314951,0.16544,1.041270546
Bolivia,2014/9/30,0.669693363,0.09775,0.878292784
Bolivia,2014/10/31,0.620433349,-0.06909,0.420405768
Bolivia,2014/11/30,0.685949168,-0.00276,-0.197771445
Bolivia,2014/12/31,0.649004157,-0.06567,-0.890618052
Bolivia,2015/1/31,0.438171296,0.16817,-1.651951938
Bolivia,2015/2/28,0.113547802,0.33158,-1.888015701
Bolivia,2015/3/31,-1.399719836,0.34252,-1.680710556
Bolivia,2015/4/30,-3.212980961,0.35346,-0.834529885
Bolivia,2015/5/31,-1.875078974,0.34663,0.08935892
Bolivia,2015/6/30,-0.107629662,0.33363,0.825023096
Bolivia,2015/7/31,0.583488338,0.33363,1.056473325
Bolivia,2015/8/31,0.637181753,0.2468,1.148517528
Bolivia,2015/9/30,0.551469329,0.17296,1.055619993
Bolivia,2015/10/31,0.355414472,0.14014,0.836054773
Bolivia,2015/11/30,0.094828996,0.09022,0.547020896
Bolivia,2015/12/31,-0.018961636,0.12988,0.038178127
Bolivia,2016/1/31,-2.091823037,0.17843,-1.329088665
Bolivia,2016/2/29,-3.743511315,0.32748,-2.031728998
Bolivia,2016/3/31,-2.892298268,0.35278,-1.55822735
Bolivia,2016/4/30,-1.602178495,0.35004,-0.783401171
Bolivia,2016/5/31,0.190886024,0.35415,0.281162668
Bolivia,2016/6/30,0.622403749,0.34526,0.916404605
Bolivia,2016/7/31,0.687426968,0.2427,1.110905952
Bolivia,2016/8/31,0.703682773,0.24817,1.154184588
Bolivia,2016/9/30,0.707130974,0.15586,1.049445044
Bolivia,2016/10/31,0.616492548,0.02937,0.844736206
Bolivia,2016/11/30,0.260342644,0.03006,0.581450395
Bolivia,2016/12/31,0.095814197,0.10663,0.20564902
Bolivia,2017/1/31,0.200245427,0.23928,-0.438777461
Bolivia,2017/2/28,0.024879776,0.32406,-0.719278976
Bolivia,2017/3/31,-0.416982552,0.35073,-2.087035024
Bolivia,2017/4/30,-0.241616901,0.35141,-1.311796514
Bolivia,2017/5/31,0.301721056,0.3521,-0.646432348
Bolivia,2017/6/30,0.662304361,0.33774,0.36449295
Bolivia,2017/7/31,0.688412168,0.32133,0.878270805
Bolivia,2017/8/31,0.685456567,0.29056,1.021824521
Bolivia,2017/9/30,0.703190173,0.24407,1.002594456
Bolivia,2017/10/31,0.712056975,0.16749,0.635450145
Bolivia,2017/11/30,0.654422758,0.18868,0.252087276
Bolivia,2017/12/31,0.636689153,0.18663,-0.220529984
Bolivia,2018/1/31,0.570680734,0.22492,-0.585287259
Bolivia,2018/2/28,0.373148077,0.34936,-0.320436689
Bolivia,2018/3/31,0.200245427,0.3521,-0.900826499
Bolivia,2018/4/30,0.225860634,0.35415,-0.424180519
Bolivia,2018/5/31,0.327828864,0.34663,0.238846778
Bolivia,2018/6/30,0.713534776,0.33227,0.761009837
Bolivia,2018/7/31,0.725849779,0.31107,0.981627627
Bolivia,2018/8/31,0.736194382,0.22082,1.180889189
Bolivia,2018/9/30,0.726342379,-0.0096,1.152304487
Bolivia,2018/10/31,0.656393159,-0.42258,0.946652492
Bolivia,2018/11/30,0.454427101,-0.75146,0.501298368
Bolivia,2018/12/31,-0.008617033,-0.72616,-0.581941778
Bolivia,2019/1/31,0.051972784,-0.14566,-1.902940884
Bolivia,2019/2/28,0.398270684,0.23381,-1.923116494
Bolivia,2019/3/31,-0.13324487,0.34526,-1.474248708
Bolivia,2019/4/30,0.078573192,0.34116,-0.505662712
Bolivia,2019/5/31,0.026357577,0.33842,0.146242606
Bolivia,2019/6/30,0.320439862,0.3268,0.769201057
Bolivia,2019/7/31,0.471175505,0.17638,1.034501705
Bolivia,2019/8/31,0.498268513,-0.16276,1.132006085
Bolivia,2019/9/30,0.495312912,0,1.112884
Bolivia,2019/10/31,0.208619629,0,0.701751537
Bolivia,2019/11/30,0.058869186,0,0.171800991
Bolivia,2019/12/31,-0.72239464,0,-0.743604665
Brazil,2014/2/28,0.329019794,0.07864,-0.579971551
Brazil,2014/3/31,0.044431104,0.1397,-0.616235768
Brazil,2014/4/30,-0.459378074,0.48615,-0.218565893
Brazil,2014/5/31,-0.182435958,0.73028,0.116489777
Brazil,2014/6/30,0.363177163,1.01781,0.335913471
Brazil,2014/7/31,0.53631803,1.14942,0.460734526
Brazil,2014/8/31,0.601550117,1.17965,0.477154877
Brazil,2014/9/30,0.566031578,1.04537,0.489044248
Brazil,2014/10/31,0.546414712,0.43371,0.485994382
Brazil,2014/11/30,0.542395256,-0.1799,0.458729531
Brazil,2014/12/31,0.63695656,-0.63698,0.437004899
Brazil,2015/1/31,-0.207705685,-0.81796,0.431039991
Brazil,2015/2/28,-1.047171462,-0.67544,0.435819429
Brazil,2015/3/31,-2.570369115,-1.98666,0.378045332
Brazil,2015/4/30,-2.417317521,-0.98375,0.360752491
Brazil,2015/5/31,-0.987856463,0.06286,0.422566431
Brazil,2015/6/30,0.087788382,0.61114,0.487075847
Brazil,2015/7/31,0.426663749,0.77999,0.498907437
Brazil,2015/8/31,0.524852172,0.82755,0.50385155
Brazil,2015/9/30,0.537855352,0.50141,0.503899701
Brazil,2015/10/31,0.479076814,0.23937,0.499965789
Brazil,2015/11/30,0.250784527,-1.1755,0.486450851
Brazil,2015/12/31,0.416390916,-2.45645,0.37933866
Brazil,2016/1/31,-1.062856949,-0.94997,0.095086792
Brazil,2016/2/29,-2.395851064,-0.01611,-0.070919481
Brazil,2016/3/31,-2.428230904,0.0102,-0.728976776
Brazil,2016/4/30,-1.478158027,0.26058,-1.358298697
Brazil,2016/5/31,-0.096193807,0.51265,-0.712096104
Brazil,2016/6/30,0.460949228,0.76635,0.139825531
Brazil,2016/7/31,0.593583267,0.9511,0.359417753
Brazil,2016/8/31,0.637132711,0.91908,0.445431271
Brazil,2016/9/30,0.653939162,0.64681,0.461812139
Brazil,2016/10/31,0.633041194,-1.37288,0.470524526
Brazil,2016/11/30,0.704782877,-2.90913,0.474642374
Brazil,2016/12/31,0.459748195,-0.63121,0.45494296
Brazil,2017/1/31,0.525244509,-0.12812,0.354525642
Brazil,2017/2/28,0.482631871,0.09857,0.032749935
Brazil,2017/3/31,0.419978001,-0.00822,-0.395362738
Brazil,2017/4/30,0.39654185,0.22757,-0.579537232
Brazil,2017/5/31,0.439803046,0.38405,-0.134954132
Brazil,2017/6/30,0.542363228,0.68085,0.2562414
Brazil,2017/7/31,0.623080629,0.78355,0.400921729
Brazil,2017/8/31,0.65425143,0.76489,0.464888005
Brazil,2017/9/30,0.666245743,0.52155,0.47023177
Brazil,2017/10/31,0.657390129,0.19959,0.451960506
Brazil,2017/11/30,0.645275713,-0.59605,0.41047868
Brazil,2017/12/31,0.618076327,-1.15744,0.361791583
Brazil,2018/1/31,0.538039511,-0.80837,0.193770684
Brazil,2018/2/28,0.566159688,-0.12799,-0.112971412
Brazil,2018/3/31,0.477235231,0.08289,-0.216019684
Brazil,2018/4/30,0.425182476,0.432,0.034310017
Brazil,2018/5/31,0.40964912,0.75416,0.23229028
Brazil,2018/6/30,0.548944887,1.04009,0.425777119
Brazil,2018/7/31,0.580924383,1.20657,0.472953247
Brazil,2018/8/31,0.65068036,1.21746,0.496385303
Brazil,2018/9/30,0.655140194,1.07953,0.498252587
Brazil,2018/10/31,0.603287611,0.72412,0.480878852
Brazil,2018/11/30,0.578658435,0.49434,0.398603754
Brazil,2018/12/31,0.488212669,0.16628,0.282803251
Brazil,2019/1/31,-0.174933507,0.01465,-0.083984692
Brazil,2019/2/28,-0.920078187,-0.73891,-0.993159433
Brazil,2019/3/31,-1.963407246,-2.26886,-4.306549573
Brazil,2019/4/30,-2.662344196,-1.28569,-5.611307339
Brazil,2019/5/31,-3.637854945,-0.13389,-2.511271979
Brazil,2019/6/30,-1.119401566,0.57354,-0.288297734
Brazil,2019/7/31,-0.021537617,0.87941,0.158551338
Brazil,2019/8/31,0.29698425,0.92133,0.359475534
Brazil,2019/9/30,0.387942456,0.73155,0.404846011
Brazil,2019/10/31,0.391561568,-0.49977,0.35246094
Brazil,2019/11/30,0.353072475,-2.99095,0.13527529
Brazil,2019/12/31,0.177641639,-1.79216,-0.162405808
Cambodia,2014/2/28,0.861244375,0.83497,1.0157561
Cambodia,2014/3/31,0.830243019,0.83388,0.993755831
Cambodia,2014/4/30,0.78465279,0.83071,0.873997964
Cambodia,2014/5/31,0.615057138,0.82251,0.758972856
Cambodia,2014/6/30,0.491051715,0.80876,0.583919998
Cambodia,2014/7/31,0.398959452,0.78833,0.218312196
Cambodia,2014/8/31,0.305955385,0.75225,-0.211970806
Cambodia,2014/9/30,0.522053071,0.69556,-0.250003974
Cambodia,2014/10/31,0.568555104,0.66823,-0.474147956
Cambodia,2014/11/30,0.615057138,0.70948,-0.195066334
Cambodia,2014/12/31,0.676148045,0.74789,0.881248764
Cambodia,2015/1/31,0.753651434,0.80209,1.013530955
Cambodia,2015/2/28,0.814742341,0.8236,0.985815923
