,ratio,ID,IC,country,date,obs_cases,pre_cases,M1,M2,M3,S,E,I,C,T,err,time,temp_obs,temp_non_iobw_ens1,pop,BR,DR,temp_with_iobw,temp_without_iobw,year,a_T0,a_Tm,a_c,pEA_T0,pEA_Tm,pEA_c,EFD_T0,EFD_Tm,EFD_c,mu_th_T0,mu_th_Tm,mu_th_c,MDR_T0,MDR_Tm,MDR_c,PDR_T0,PDR_Tm,PDR_c,b_T0,b_Tm,b_c,pMI_T0,pMI_Tm,pMI_c
9217,1,19,22,Bolivia,2014/1/31,2233,52158562,40424956.81,150724.5442,395905.3731,2285690.452,92308.10378,72468.61624,7962213.003,5794240.534,0,396,19.48141479,22.01387596,10637888.31,0.064095771,0.019177307,27.23438644,16.63010905,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
9218,1,19,22,Bolivia,2014/2/28,4075,4157916,45855635.03,249810.8407,565850.8179,2094467.168,105650.352,86888.99721,8124032.628,460748.4252,0,424,20.97600937,22.03829575,10650468.94,0.064006034,0.01915732,27.19367218,15.92394394,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
9219,1,19,22,Bolivia,2014/3/31,6133,5649736,14407276.26,172646.5317,758901.6575,1782600.692,110658.1235,102951.5525,8412498.095,628013.1063,0,455,20.56552696,21.96253777,10664392.42,0.063906907,0.019135508,26.48163414,15.78888782,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
9220,1,19,22,Bolivia,2014/4/30,5189,4684360,12712283.17,119642.6417,655862.0784,1608100.13,85043.0553,79051.49046,8633766.937,521034.3024,0,485,20.70601368,19.7353735,10677861.11,0.063811232,0.01911475,25.67987347,14.92388831,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
9221,1,19,22,Bolivia,2014/5/31,3020,3361564,9377550.752,55822.67207,437273.5752,1612433.102,44632.49605,45825.6819,8700046.558,373336.9482,0,516,19.2879591,19.04789543,10691772.3,0.063712661,0.019093702,24.18810558,13.14947197,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
9222,1,19,22,Bolivia,2014/6/30,976,1582809,7557578.342,18994.3408,224162.9225,1787283.524,18928.77661,18987.90729,8574995.202,176283.836,0,546,16.29028702,13.73505306,10705227.88,0.063617582,0.019073757,22.07653236,12.73393673,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
9223,1,19,22,Bolivia,2014/7/31,474,619223,22442469.95,23333.01663,111929.4442,2051515.264,14661.11908,12263.35377,8319394.611,69014.7293,0,577,19.4565239,17.85799885,10719124.35,0.063519684,0.019053617,25.78519917,13.23454449,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
9224,1,19,22,Bolivia,2014/8/31,333,663117,45588096.92,43267.25172,105811.6906,2300208.47,11916.15057,10886.86475,8072956.486,73590.41938,0,608,21.30126953,19.67670345,10733012.91,0.063422154,0.019033958,23.77536392,14.44543314,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
9225,1,19,22,Bolivia,2014/9/30,249,1004225,54152827.37,35576.4239,128840.9426,2475210.11,26037.20517,20630.1335,7872696.586,111757.7489,0,638,22.63612366,23.63852882,10746445.88,0.063328128,0.019015381,28.85982323,16.45305125,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
9226,1,19,22,Bolivia,2014/10/31,349,1962570,42981835.46,131064.3275,248404.7231,2528345.836,59923.94281,44075.8323,7761038.386,217759.0315,0,669,22.19332695,22.38952637,10760318.76,0.063231346,0.018996641,28.62479019,17.80890052,2014,10.56168241,40.04155005,0.000153769,13.0898228,39.07681901,-0.00530916,13.07031836,34.68657899,0.007963472,8.585640933,37.79708671,-0.14297634,12.62521548,39.1128772,7.91E-05,8.073128375,47.9674218,5.21E-05,16.90735132,35.36324497,0.000794601,12.11769397,37.89928922,0.00045547
